answer_rate,benchmark_type,bleu_4,frame_counts,input_type,judge_evaluated,judge_soft_accuracy,judge_strict_accuracy,judge_unjudgeable_rate,max_frames_per_item,meteor,modality,model_key,model_name,provider,rouge_l_f1,section
1.0,,0.058798523698827654,[8],,1668,0.03207434052757794,0.03177458033573141,0.0,[],0.007780942910238237,,molmo2:Molmo2-8B:frame:0fa59150,,,0.007708862110970015,action
1.0,,0.06711971484391543,[8],,1744,0.01834862385321101,0.01834862385321101,0.0,[],0.011003084129851843,,molmo2:Molmo2-8B:frame:0fa59150,,,0.008549671450068215,counting
1.0,,0.06715102421065368,[8],,604,0.029801324503311258,0.028145695364238412,0.0,[],0.002753054351509791,,molmo2:Molmo2-8B:frame:0fa59150,,,0.002299392287023531,depth_action
1.0,,0.06347625993351158,[8],,412,0.0,0.0,0.0,[],0.009154687431645615,,molmo2:Molmo2-8B:frame:0fa59150,,,0.005770428559080754,depth_counting
1.0,,0.06603417513602947,[8],,472,0.0211864406779661,0.0211864406779661,0.0,[],0.012264844652464416,,molmo2:Molmo2-8B:frame:0fa59150,,,0.0071799936301438095,depth_dynamic_counting
1.0,,0.07052109569351776,[8],,524,0.026717557251908396,0.026717557251908396,0.0,[],0.0025561045885551296,,molmo2:Molmo2-8B:frame:0fa59150,,,0.002191522077803697,depth_dynamic_recognition
1.0,,0.06477654002074917,[8],,212,0.02830188679245283,0.02830188679245283,0.0,[],0.004805767589262516,,molmo2:Molmo2-8B:frame:0fa59150,,,0.0041492311726673125,depth_navigation
1.0,,0.07444771150252873,[8],,224,0.05803571428571429,0.05803571428571429,0.0,[],0.0026282050424991797,,molmo2:Molmo2-8B:frame:0fa59150,,,0.0019842880333951762,depth_non_common
1.0,,0.07566515501121432,[8],,196,0.015306122448979591,0.015306122448979591,0.0,[],0.003450590571961511,,molmo2:Molmo2-8B:frame:0fa59150,,,0.0024781803251314625,depth_object_recognition
1.0,,0.06481016932879453,[8],,212,0.03773584905660377,0.03773584905660377,0.0,[],0.004817379059350861,,molmo2:Molmo2-8B:frame:0fa59150,,,0.0036153606507203207,depth_scene_sequence
1.0,,0.06764769327452881,[8],,200,0.01,0.01,0.0,[],0.00697091624394497,,molmo2:Molmo2-8B:frame:0fa59150,,,0.006149270365649676,depth_spatial_reasoning
1.0,,0.06860282780743149,[8],,1736,0.039746543778801845,0.03917050691244239,0.0,[],0.0074445387075222115,,molmo2:Molmo2-8B:frame:0fa59150,,,0.00570797555813086,dynamic_counting
1.0,,0.06512905547669336,[8],,1252,0.027156549520766772,0.026357827476038338,0.0,[],0.004248611139473446,,molmo2:Molmo2-8B:frame:0fa59150,,,0.004722296271133481,dynamic_recognition
1.0,,0.07111325864423551,[8],,604,0.026490066225165563,0.026490066225165563,0.0,[],0.0032447515127678483,,molmo2:Molmo2-8B:frame:0fa59150,,,0.0024245226320409757,event_action
1.0,,0.0670276661834239,[8],,540,0.018518518518518517,0.018518518518518517,0.0,[],0.01449985664112675,,molmo2:Molmo2-8B:frame:0fa59150,,,0.007794358341574285,event_counting
1.0,,0.07222005450721326,[8],,500,0.024,0.024,0.0,[],0.01422642018359531,,molmo2:Molmo2-8B:frame:0fa59150,,,0.00801064010538898,event_dynamic_counting
1.0,,0.06435981537620755,[8],,476,0.0273109243697479,0.0273109243697479,0.0,[],0.0028028713297425325,,molmo2:Molmo2-8B:frame:0fa59150,,,0.0018197528238433134,event_dynamic_recognition
1.0,,0.0647659916275739,[8],,212,0.018867924528301886,0.018867924528301886,0.0,[],0.009039846027086825,,molmo2:Molmo2-8B:frame:0fa59150,,,0.007114584692932213,event_navigation
1.0,,0.06836233457108275,[8],,224,0.05357142857142857,0.05357142857142857,0.0,[],0.0008469478216818642,,molmo2:Molmo2-8B:frame:0fa59150,,,0.0005478152799581371,event_non_common
1.0,,0.05439009567047049,[8],,212,0.025943396226415096,0.02358490566037736,0.0,[],0.002202538149230764,,molmo2:Molmo2-8B:frame:0fa59150,,,0.0017056250450885571,event_object_recognition
1.0,,0.06597998821661591,[8],,216,0.013888888888888888,0.013888888888888888,0.0,[],0.0017699008309658688,,molmo2:Molmo2-8B:frame:0fa59150,,,0.0015528643875060944,event_scene_sequence
1.0,,0.06757539044666558,[8],,216,0.013888888888888888,0.013888888888888888,0.0,[],0.00604360808696378,,molmo2:Molmo2-8B:frame:0fa59150,,,0.004948392199798302,event_spatial_reasoning
1.0,,0.06759325571538174,[8],,1792,0.049413735343383586,0.04913456169737577,0.0005580357142857143,[],0.0042845971192351185,,molmo2:Molmo2-8B:frame:0fa59150,,,0.0042159633937743505,light_change
1.0,,0.059219648619189456,[8],,416,0.01201923076923077,0.01201923076923077,0.0,[],0.00556587138125169,,molmo2:Molmo2-8B:frame:0fa59150,,,0.006118055800860719,light_recognition
1.0,,0.06169128727333513,[8],,1704,0.025821596244131457,0.025821596244131457,0.0,[],0.00846678219016794,,molmo2:Molmo2-8B:frame:0fa59150,,,0.008793858858487278,navigation
1.0,,0.063378988382422,[8],,492,0.03048780487804878,0.03048780487804878,0.0,[],0.007267932393807719,,molmo2:Molmo2-8B:frame:0fa59150,,,0.009287837185512939,non_common
1.0,,0.06499806371556328,[8],,396,0.008838383838383838,0.007575757575757576,0.0,[],0.006331834854039317,,molmo2:Molmo2-8B:frame:0fa59150,,,0.007550679147455072,object_recognition
1.0,,0.059531033857590406,[8],,1868,0.02542826552462527,0.025160599571734475,0.0,[],0.007372232249097,,molmo2:Molmo2-8B:frame:0fa59150,,,0.008075228589076102,scene_sequence
1.0,,0.05884482944713816,[8],,396,0.007575757575757576,0.007575757575757576,0.0,[],0.020523108418417268,,molmo2:Molmo2-8B:frame:0fa59150,,,0.02149201078238521,spatial_reasoning
1.0,,0.05945726031247534,[8],,1604,0.02649625935162095,0.026184538653366583,0.0,[],0.008296181231955118,,molmo2:Molmo2-8B:frame:0fa59150,,,0.009341035937590387,text_recognition
