source_qa_id,question,source_modality,source_section,ground_truth_answer,primary_best_modalities,best_input_modalities,is_tie,tie_break_level,rgb_composite_score,rgb_rank,rgb_judge_score,rgb_task_aware_score,rgb_text_metric_mean,rgb_token_f1,ir_composite_score,ir_rank,ir_judge_score,ir_task_aware_score,ir_text_metric_mean,ir_token_f1,event_composite_score,event_rank,event_judge_score,event_task_aware_score,event_text_metric_mean,event_token_f1,depth_composite_score,depth_rank,depth_judge_score,depth_task_aware_score,depth_text_metric_mean,depth_token_f1
depth__check_mailbox_split_seg1_check_mailbox__depth_action__01,What is my primary action in the video?,depth,depth_action,Moving through a doorway.,rgb;ir,rgb;ir,True,unresolved_multi_best,0.35569014772655067,1,0.5,0.0,0.03793431817700458,0.0,0.35569014772655067,1,0.5,0.0,0.03793431817700458,0.0,0.019376929126866477,2,0.0,0.0,0.1291795275124432,0.0,0.019376929126866477,2,0.0,0.0,0.1291795275124432,0.0
depth__check_mailbox_split_seg1_check_mailbox__depth_dynamic_recognition__01,Is the person moving closer to me?,depth,depth_dynamic_recognition,"Yes, they are.",event;depth,event;depth,True,unresolved_multi_best,0.005690147726550687,2,0.0,0.0,0.03793431817700458,0.0,0.005690147726550687,2,0.0,0.0,0.03793431817700458,0.0,0.7835524784475448,1,1.0,1.0,0.27130223726934705,0.5,0.7835524784475448,1,1.0,1.0,0.27130223726934705,0.5
depth__check_mailbox_split_seg1_check_mailbox__depth_navigation__01,Is the pathway through the door clear for movement?,depth,depth_navigation,"Yes, it is clear.",rgb;ir;event;depth,rgb;ir;event;depth,True,unresolved_multi_best,0.7627596236886635,1,1.0,1.0,0.19497406783433302,0.4,0.7627596236886635,1,1.0,1.0,0.19497406783433302,0.4,0.7627596236886635,1,1.0,1.0,0.19497406783433302,0.4,0.7627596236886635,1,1.0,1.0,0.19497406783433302,0.4
depth__check_mailbox_split_seg1_check_mailbox__depth_non_common__01,Are there any floating objects or impossible geometry in the scene?,depth,depth_non_common,"No, there are none.",rgb;ir;event;depth,rgb;ir;event;depth,True,unresolved_multi_best,0.7627596236886635,1,1.0,1.0,0.19497406783433302,0.4,0.7627596236886635,1,1.0,1.0,0.19497406783433302,0.4,0.7627596236886635,1,1.0,1.0,0.19497406783433302,0.4,0.7627596236886635,1,1.0,1.0,0.19497406783433302,0.4
depth__check_mailbox_split_seg1_check_mailbox__depth_object_recognition__01,What is the primary geometric structure visible that connects two distinct spaces?,depth,depth_object_recognition,A doorway.,rgb;ir;event;depth,rgb;ir;event;depth,True,unresolved_multi_best,0.7420448207626857,1,1.0,0.0,0.2802988050845715,0.0,0.7420448207626857,1,1.0,0.0,0.2802988050845715,0.0,0.7420448207626857,1,1.0,0.0,0.2802988050845715,0.0,0.7420448207626857,1,1.0,0.0,0.2802988050845715,0.0
depth__check_mailbox_split_seg1_check_mailbox__depth_scene_sequence__01,What is the sequence of spaces I move through?,depth,depth_scene_sequence,From a room through a doorway into a second room.,ir,ir,False,composite_score,0.036846352143242556,3,0.0,0.0,0.14106718422292422,0.16666666666666666,0.42056406253081213,1,0.5,0.0,0.23608364919531336,0.4,0.03786201027024814,2,0.0,0.0,0.1420560974144991,0.18181818181818182,0.006742555929751842,4,0.0,0.0,0.04495037286501228,0.0
depth__check_mailbox_split_seg1_check_mailbox__depth_spatial_reasoning__01,Is the table-like object closer to me than the items on the floor in the further room?,depth,depth_spatial_reasoning,"Yes, it is closer.",rgb;ir;event;depth,rgb;ir;event;depth,True,unresolved_multi_best,0.7627596236886635,1,1.0,1.0,0.19497406783433302,0.4,0.7627596236886635,1,1.0,1.0,0.19497406783433302,0.4,0.7627596236886635,1,1.0,1.0,0.19497406783433302,0.4,0.7627596236886635,1,1.0,1.0,0.19497406783433302,0.4
depth__check_mailbox_split_seg2_check_mailbox__depth_action__01,What action am I performing as I move through this stairwell?,depth,depth_action,Descending the stairs.,rgb;ir;event,rgb;ir;event,True,unresolved_multi_best,0.824534322935765,1,1.0,0.6666666666666666,0.43256800085831704,0.6666666666666666,0.824534322935765,1,1.0,0.6666666666666666,0.43256800085831704,0.6666666666666666,0.824534322935765,1,1.0,0.6666666666666666,0.43256800085831704,0.6666666666666666,0.36546742516633024,2,0.5,0.0,0.10311616777553521,0.0
depth__check_mailbox_split_seg2_check_mailbox__depth_counting__01,How many main staircase levels can I see in the 3D scene?,depth,depth_counting,Three levels.,rgb;ir;event;depth,rgb;ir;event;depth,True,unresolved_multi_best,0.015467425166330283,1,0.0,0.0,0.10311616777553521,0.0,0.015467425166330283,1,0.0,0.0,0.10311616777553521,0.0,0.015467425166330283,1,0.0,0.0,0.10311616777553521,0.0,0.015467425166330283,1,0.0,0.0,0.10311616777553521,0.0
depth__check_mailbox_split_seg2_check_mailbox__depth_dynamic_counting__01,How many moving people did I encounter during my descent?,depth,depth_dynamic_counting,Zero.,rgb;ir;event;depth,rgb;ir;event;depth,True,unresolved_multi_best,0.7420448207626857,1,1.0,1.0,0.2802988050845715,0.0,0.7420448207626857,1,1.0,1.0,0.2802988050845715,0.0,0.7420448207626857,1,1.0,1.0,0.2802988050845715,0.0,0.7420448207626857,1,1.0,1.0,0.2802988050845715,0.0
