anls,answer_rate,answered,character_f1,conciseness_violation_rate,incremental_peak_gpu_gb_max,judge_evaluated,judge_label_counts,judge_soft_accuracy,judge_strict_accuracy,judge_strict_accuracy_ci95,judge_unjudgeable_rate,latency_mean_seconds,latency_median_seconds,latency_p95_seconds,model_key,normalized_exact_match,peak_gpu_gb_max,repetition_rate,rouge_l_f1,section,status_counts,task_aware_score,task_aware_score_ci95,throughput_qa_per_hour,token_f1,token_f1_ci95,total
0.15119519064026338,1.0,429,0.46666832990876006,0.0,2.054,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.7527671328671328,0.7048,1.0153,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.12354312354312354,7.21,0.0,0.2676567475518524,action,"{""answered"": 429}",0.31806376089592875,"{""mean"": 0.31806376089592875, ""low"": 0.28186938676449164, ""high"": 0.35671140566245463}",4782.355449404854,0.27035590025100514,"{""mean"": 0.27035590025100514, ""low"": 0.23865092431525997, ""high"": 0.29952867645175335}",429
0.23555555555555555,1.0,450,0.3868942781547523,0.0,2.056,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.6329773333333333,0.6261,0.7025,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.23555555555555555,7.212,0.0022222222222222222,0.27574466247654655,counting,"{""answered"": 450}",0.46444444444444444,"{""mean"": 0.46444444444444444, ""low"": 0.4177777777777778, ""high"": 0.5111111111111111}",5687.407447976022,0.27574466247654655,"{""mean"": 0.27574466247654655, ""low"": 0.2363851947837455, ""high"": 0.3140489818823152}",450
0.27713081620366387,1.0,151,0.5155327333684873,0.0,2.059,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.7122059602649007,0.6973,1.0085,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.24503311258278146,7.215,0.0,0.2995374750341638,depth_action,"{""answered"": 151}",0.3279617365710081,"{""mean"": 0.3279617365710081, ""low"": 0.254635761589404, ""high"": 0.4}",5054.7175969448535,0.2995374750341638,"{""mean"": 0.2995374750341638, ""low"": 0.23184063912540734, ""high"": 0.37060338484179545}",151
0.1262135922330097,1.0,103,0.22420118653935783,0.0,2.065,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.6271592233009708,0.6251,0.63,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.1262135922330097,7.221,0.0,0.14789644012944983,depth_counting,"{""answered"": 103}",0.23300970873786409,"{""mean"": 0.23300970873786409, ""low"": 0.1553398058252427, ""high"": 0.32038834951456313}",5740.169108973426,0.14789644012944983,"{""mean"": 0.14789644012944983, ""low"": 0.0831715210355987, ""high"": 0.21877022653721684}",103
0.15254237288135594,1.0,118,0.33988305645833067,0.0,2.067,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.6272847457627119,0.6249,0.6287,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.1271186440677966,7.223,0.0,0.16581920903954803,depth_dynamic_counting,"{""answered"": 118}",0.288135593220339,"{""mean"": 0.288135593220339, ""low"": 0.211864406779661, ""high"": 0.3728813559322034}",5739.020475657794,0.16581920903954803,"{""mean"": 0.16581920903954803, ""low"": 0.10451977401129943, ""high"": 0.23728813559322035}",118
0.3523070742034181,1.0,131,0.4607195348918118,0.0,2.067,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.7116748091603053,0.6268,1.0924,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.32061068702290074,7.223,0.0,0.3935478007997092,depth_dynamic_recognition,"{""answered"": 131}",0.44249363867684477,"{""mean"": 0.44249363867684477, ""low"": 0.3659033078880407, ""high"": 0.5241730279898219}",5058.4901329409,0.3935478007997092,"{""mean"": 0.3935478007997092, ""low"": 0.3187204652853508, ""high"": 0.47304616503089786}",131
0.13731656184486374,1.0,53,0.3775853384341656,0.0,2.063,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.6420509433962264,0.6259,0.7035,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.1320754716981132,7.22,0.0,0.284366576819407,depth_navigation,"{""answered"": 53}",0.4528301886792453,"{""mean"": 0.4528301886792453, ""low"": 0.32075471698113206, ""high"": 0.5849056603773585}",5607.031711467084,0.284366576819407,"{""mean"": 0.284366576819407, ""low"": 0.19191374663072777, ""high"": 0.38301886792452833}",53
0.5357142857142857,1.0,56,0.5806566158270279,0.0,2.073,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.6297482142857143,0.6242,0.6298,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.5357142857142857,7.229,0.0,0.5977040816326531,depth_non_common,"{""answered"": 56}",0.6964285714285714,"{""mean"": 0.6964285714285714, ""low"": 0.5714285714285714, ""high"": 0.8214285714285714}",5716.570398033229,0.5977040816326531,"{""mean"": 0.5977040816326531, ""low"": 0.4760204081632653, ""high"": 0.7153061224489796}",56
0.052597850734496694,1.0,49,0.3440359838110906,0.0,2.081,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.8026897959183673,0.7529,0.9789,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.04081632653061224,7.237,0.0,0.11689342403628118,depth_object_recognition,"{""answered"": 49}",0.1383219954648526,"{""mean"": 0.1383219954648526, ""low"": 0.05442176870748299, ""high"": 0.23356009070294784}",4484.920598599607,0.11689342403628118,"{""mean"": 0.11689342403628118, ""low"": 0.04580498866213152, ""high"": 0.19183673469387755}",49
0.23565166489694792,1.0,53,0.43815196290030173,0.0,2.065,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.705877358490566,0.6272,1.0042,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.20754716981132076,7.221,0.0,0.4501418177333827,depth_scene_sequence,"{""answered"": 53}",0.6855345911949685,"{""mean"": 0.6855345911949685, ""low"": 0.5534591194968553, ""high"": 0.7987421383647799}",5100.03608516098,0.4501418177333827,"{""mean"": 0.4501418177333827, ""low"": 0.36670366259711434, ""high"": 0.5430139351338019}",53
0.185,1.0,50,0.472994718961081,0.0,2.075,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.687606,0.6979,0.8216,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.16,7.231,0.0,0.38571428571428573,depth_spatial_reasoning,"{""answered"": 50}",0.5343333333333333,"{""mean"": 0.5343333333333333, ""low"": 0.41133333333333333, ""high"": 0.6583333333333333}",5235.556408757341,0.38571428571428573,"{""mean"": 0.38571428571428573, ""low"": 0.2814285714285714, ""high"": 0.48304761904761906}",50
0.3243758058844215,1.0,449,0.4704982689118956,0.0,2.057,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.6389726057906459,0.6268,0.7074,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.2962138084632517,7.213,0.0,0.343626368682048,dynamic_counting,"{""answered"": 449}",0.45572878000494926,"{""mean"": 0.45572878000494926, ""low"": 0.4084632516703786, ""high"": 0.50299430833952}",5634.044350845787,0.343626368682048,"{""mean"": 0.343626368682048, ""low"": 0.3023314596811256, ""high"": 0.383779089012942}",449
0.20185216272172793,1.0,322,0.3646065276844027,0.0,2.056,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.7304521739130435,0.6276,1.1761,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.19875776397515527,7.212,0.003105590062111801,0.26749107771212266,dynamic_recognition,"{""answered"": 322}",0.3830033949325144,"{""mean"": 0.3830033949325144, ""low"": 0.33209161438975104, ""high"": 0.4382493049920891}",4928.454084426562,0.26749107771212266,"{""mean"": 0.26749107771212266, ""low"": 0.2230932283727315, ""high"": 0.31263067403915046}",322
0.2507226751742881,1.0,155,0.5292508566439854,0.0,2.051,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.7354490322580645,0.7023,1.0089,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.2129032258064516,7.207,0.0,0.29092677931387606,event_action,"{""answered"": 155}",0.2995289298515105,"{""mean"": 0.2995289298515105, ""low"": 0.23442396313364056, ""high"": 0.36540706605222734}",4894.96870904411,0.29092677931387606,"{""mean"": 0.29092677931387606, ""low"": 0.227357910906298, ""high"": 0.3556989247311828}",155
0.24820143884892087,1.0,139,0.37939949876193985,0.0,2.052,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.6319611510791366,0.6263,0.7045,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.2446043165467626,7.209,0.0,0.2589928057553957,event_counting,"{""answered"": 139}",0.41007194244604317,"{""mean"": 0.41007194244604317, ""low"": 0.33093525179856115, ""high"": 0.4892086330935252}",5696.552697666052,0.2589928057553957,"{""mean"": 0.2589928057553957, ""low"": 0.18705035971223022, ""high"": 0.33573141486810554}",139
0.225,1.0,130,0.4350467908160216,0.0,2.057,0,{},,,"{""mean"": null, ""low"": null, ""high"": null}",,0.6455984615384616,0.6265,0.7074,internvl:InternVL3_5-4B-Instruct:frame:73289310,0.2076923076923077,7.213,0.0,0.2282051282051282,event_dynamic_counting,"{""answered"": 130}",0.3,"{""mean"": 0.3, ""low"": 0.2230769230769231, ""high"": 0.3769230769230769}",5576.2214665462425,0.2282051282051282,"{""mean"": 0.2282051282051282, ""low"": 0.15897435897435896, ""high"": 0.29743589743589743}",130
