sample_key,status,row_index,section,primary_section,sections,category,qa_source,qa_index,source_modality,annotation_key,fusion_score,support_score,lexical_support_score,semantic_support_score,semantic_support_raw_cosine,supporting_modality_count,supporting_modalities,modality_reliability,modality_weight_profile,requires_lexical_support,is_outlier,selection_reason,reliability_gate,review_recommended,review_priority,review_reasons,support_level,best_support_modality,best_support_score,best_match_modality,best_match_category,question,answer
cut_carrot,selected,1,motion_and_action,motion_and_action,motion_and_action,event_action,original_modality,,event,event_action,2.919,0.767,0.333,1.0,0.921,3,audio;ir;rgb,0.915,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,rgb,0.755,rgb,action,What tool do I use on the carrot?,A vegetable peeler.
cut_carrot,selected,2,motion_and_action,motion_and_action,motion_and_action,action,original_modality,,ir,action,2.85,1.0,1.0,1.0,0.971,4,audio;depth;event;rgb,1.0,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,rgb,1.0,rgb,action,What am I doing with the peeler and the carrot?,Peeling the carrot.
cut_carrot,selected,3,counting,counting,counting,counting,original_modality,2,rgb,counting,2.814,0.72,0.6,1.0,0.9,3,depth;event;ir,1.0,visual_count,True,False,passed_support_required_gate,support_required,False,none,,strong,event,0.72,event,event_counting,How many knives are visible?,One
cut_carrot,selected,4,spatial_and_layout,spatial_and_layout,spatial_and_layout;motion_and_action,navigation,original_modality,6,rgb,navigation,2.783,0.694,0.5,0.985,0.893,4,audio;depth;event;ir,1.0,visual_spatial,True,False,passed_support_required_gate,support_required,False,none,,strong,event,0.694,event,event_spatial_reasoning,Where is the peeler relative to the bowl?,To the left of it
cut_carrot,selected,5,temporal_sequence,temporal_sequence,temporal_sequence;motion_and_action,event_scene_sequence,original_modality,,event,event_scene_sequence,2.754,0.712,0.5,0.854,0.827,4,audio;depth;ir;rgb,0.915,temporal,False,False,passed_support_soft_gate,support_soft,False,none,,strong,rgb,0.712,rgb,scene_sequence,What is the final action visible in the full sequence?,Peeling the carrot.
cut_carrot,selected,6,spatial_and_layout,spatial_and_layout,spatial_and_layout;motion_and_action,navigation,original_modality,3,rgb,navigation,2.75,0.667,0.444,1.0,0.932,3,audio;event;ir,1.0,visual_spatial,True,False,passed_support_required_gate,support_required,False,none,,strong,ir,0.667,ir,spatial_reasoning,Where is the knife placed relative to the carrot initially?,To the right
cut_carrot,selected,7,counting,counting,counting,counting,original_modality,6,rgb,counting,2.728,0.648,0.5,0.994,0.897,3,depth;event;ir,1.0,visual_count,True,False,passed_support_required_gate,support_required,False,none,,strong,event,0.648,event,event_counting,How many cutting boards are present?,One
cut_carrot,selected,8,text_and_symbols,text_and_symbols,text_and_symbols;objects_and_attributes,text_recognition,original_modality,2,rgb,text_recognition,2.709,0.383,0.2,0.722,0.761,1,ir,1.0,visual_text,True,False,passed_support_exempt_gate,support_exempt,False,none,,moderate,ir,0.383,ir,non_common,What brand of laptop is on the stove?,Lenovo
cut_carrot,selected,9,text_and_symbols,text_and_symbols,text_and_symbols;objects_and_attributes,text_recognition,original_modality,8,rgb,text_recognition,2.683,0.361,0.154,0.745,0.772,1,ir,1.0,visual_text,True,False,passed_support_exempt_gate,support_exempt,False,none,,moderate,ir,0.346,ir,text_recognition,On which object do you find the 'intel' logo?,The laptop
cut_carrot,selected,10,text_and_symbols,text_and_symbols,text_and_symbols;objects_and_attributes,text_recognition,original_modality,3,rgb,text_recognition,2.682,0.36,0.182,0.69,0.745,1,ir,1.0,visual_text,True,False,passed_support_exempt_gate,support_exempt,False,none,,moderate,ir,0.315,ir,text_recognition,What word is visible on the laptop's processor sticker?,CORE
cut_carrot,selected,11,text_and_symbols,text_and_symbols,text_and_symbols;objects_and_attributes,text_recognition,original_modality,1,rgb,text_recognition,2.678,0.357,0.2,0.648,0.724,2,event;ir,1.0,visual_text,True,False,passed_support_exempt_gate,support_exempt,False,none,,moderate,event,0.338,ir,object_recognition,What brand is written on the handle of the peeler?,Victorinox
cut_carrot,selected,12,counting,counting,counting,counting,original_modality,1,rgb,counting,2.644,0.579,0.5,0.762,0.781,3,depth;event;ir,1.0,visual_count,True,False,passed_support_required_gate,support_required,False,none,,strong,event,0.579,event,event_counting,How many carrots are on the board?,One
cut_carrot,selected,13,counting,counting,counting,counting,original_modality,3,rgb,counting,2.64,0.575,0.5,0.75,0.775,3,depth;event;ir,1.0,visual_count,True,False,passed_support_required_gate,support_required,False,none,,strong,depth,0.543,ir,object_recognition,How many peelers are in the scene?,One
cut_carrot,selected,14,text_and_symbols,text_and_symbols,text_and_symbols;objects_and_attributes,text_recognition,original_modality,6,rgb,text_recognition,2.604,0.295,0.125,0.611,0.705,0,,1.0,visual_text,True,False,passed_support_exempt_gate,support_exempt,False,none,,moderate,ir,0.259,ir,text_recognition,What logo is seen on the lid of the computer?,Lenovo
cut_carrot,selected,15,counting,counting,counting,counting,original_modality,5,rgb,counting,2.598,0.54,0.4,0.867,0.834,3,depth;event;ir,1.0,visual_count,True,False,passed_support_required_gate,support_required,False,none,,strong,ir,0.435,ir,counting,How many laptops are on the stove?,One
cut_carrot,selected,16,spatial_and_layout,spatial_and_layout,spatial_and_layout,spatial_reasoning,original_modality,,ir,spatial_reasoning,2.59,0.7,0.5,1.0,0.932,2,event;rgb,1.0,visual_spatial,True,False,passed_support_required_gate,support_required,False,none,,strong,rgb,0.669,rgb,navigation,Where is the chef's knife positioned relative to the carrot on the cutting board?,To the right.
cut_carrot,selected,17,scene_and_context,scene_and_context,scene_and_context,light_recongnition,original_modality,,ir,light_recongnition,2.582,0.527,0.231,0.769,0.785,1,rgb,1.0,visual_light,False,False,passed_support_exempt_gate,support_exempt,False,none,,strong,rgb,0.527,rgb,light_change,Which object besides the overhead light contributes to the illumination of the counter?,The laptop screen.
cut_carrot,selected,18,scene_and_context,scene_and_context,scene_and_context,light_change,original_modality,,ir,light_change,2.576,0.521,0.111,0.857,0.829,2,depth;rgb,1.0,visual_light,False,False,passed_support_exempt_gate,support_exempt,False,none,,strong,rgb,0.516,rgb,light_change,Does the environment get darker or brighter as the video progresses into the night frames?,Darker.
cut_carrot,selected,19,text_and_symbols,text_and_symbols,text_and_symbols;objects_and_attributes,text_recognition,original_modality,5,rgb,text_recognition,2.575,0.271,0.167,0.464,0.632,0,,1.0,visual_text,True,False,passed_support_exempt_gate,support_exempt,False,none,,moderate,depth,0.269,ir,object_recognition,Is there any text on the white bowl?,No
cut_carrot,selected,20,spatial_and_layout,spatial_and_layout,spatial_and_layout;motion_and_action,navigation,original_modality,1,rgb,navigation,2.56,0.508,0.3,0.82,0.81,1,event,1.0,visual_spatial,True,False,passed_support_required_gate,support_required,False,none,,strong,event,0.508,event,event_navigation,Where should I move my hand to reach the bowl?,To the right
cut_carrot,selected,21,spatial_and_layout,spatial_and_layout,spatial_and_layout;motion_and_action,navigation,original_modality,8,rgb,navigation,2.559,0.507,0.375,0.706,0.753,2,event;ir,1.0,visual_spatial,True,False,passed_support_required_gate,support_required,False,none,,strong,ir,0.507,ir,spatial_reasoning,Where are my hands positioned during cutting?,In the center of the board
cut_carrot,selected,22,spatial_and_layout,spatial_and_layout,spatial_and_layout;motion_and_action,navigation,original_modality,2,rgb,navigation,2.548,0.498,0.333,0.745,0.773,2,depth;ir,1.0,visual_spatial,True,False,passed_support_required_gate,support_required,False,none,,strong,depth,0.399,ir,non_common,In which direction is the laptop located?,To the left
cut_carrot,selected,23,objects_and_attributes,objects_and_attributes,objects_and_attributes,object_recognition,original_modality,,rgb,object_recognition,2.537,0.489,0.214,0.826,0.813,1,ir,1.0,visual_object,False,False,passed_support_required_gate,support_required,False,none,,strong,ir,0.489,ir,non_common,What electronic device is situated on the black stovetop to the left of the cutting board?,A grey laptop.
cut_carrot,selected,24,temporal_sequence,temporal_sequence,temporal_sequence;motion_and_action,scene_sequence,original_modality,3,rgb,scene_sequence,2.511,0.718,0.5,0.863,0.832,3,audio;event;ir,1.0,temporal,False,False,passed_support_soft_gate,support_soft,False,none,,strong,event,0.712,audio,audio_chronological_caption,What action follows the peeling of the carrot?,Slicing with a knife
cut_carrot,selected,25,objects_and_attributes,objects_and_attributes,objects_and_attributes,object_recognition,original_modality,,ir,object_recognition,2.502,0.544,0.273,0.875,0.837,3,audio;event;rgb,1.0,visual_object,False,False,passed_support_required_gate,support_required,False,none,,strong,rgb,0.521,event,event_action,What items are placed on the white cutting board at the start of the video?,"A peeler, a carrot, and a knife."
cut_carrot,selected,26,scene_and_context,scene_and_context,scene_and_context,light_change,original_modality,8,rgb,light_change,2.492,0.535,0.222,0.791,0.796,2,depth;ir,1.0,visual_light,False,False,passed_support_exempt_gate,support_exempt,False,none,,strong,ir,0.473,ir,light_change,Does the shadow intensity change significantly?,No
