anls,answer_length_chars,baseline_gpu_gb,benchmark_type,bleu_4,boolean_accuracy,character_f1,conciseness_violation,frame_count,ground_truth_answer,incremental_peak_gpu_gb,input_type,judge_error_type,judge_label,judge_model,judge_reason,judge_score,latency_seconds,max_frames_per_item,meteor,modality,model_answer,model_key,model_name,normalized_exact_match,numeric_accuracy,pair_key,peak_gpu_gb,provider,qa_id,question,reason,record_id,repetition_flag,repetition_ratio,rouge_l_f1,section,sequence_order_score,set_f1,source_path,status,task_aware_metric,task_aware_reason,task_aware_score,token_f1,token_precision,token_recall
0.0,9,5.139,fixed_8frame_aligned_4b_frame_input_cu130_v1,0.4608636396914616,,0.4999999999999999,False,8,A blue raindrop pattern.,2.065,frame,missing_detail,partially_correct,gemini-3.1-flash-lite,Candidate identified the pattern as dots instead of raindrops.,0.5,1.1032,,0.17241379310344826,rgb,blue dots,internvl:InternVL3_5-4B-Instruct:frame:73289310,/home/multimodality/Documents/Multimodality/annotationpipeline/models/internvl/InternVL3_5-4B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,7.204,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__object_recognition__01,What is the pattern on the white teacup located to the left of the tea tray?,,37fb023d70411f598f61389e,False,0.0,0.4,object_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned_4b/aligned_qa_frame_answers_InternVL3_5-4B-Instruct.json,answered,token_f1,General open-ended short answer.,0.4,0.4,0.5,0.3333333333333333
0.0,6,5.156,fixed_8frame_aligned_4b_frame_input_cu130_v1,0.36787944117144233,,0.6,False,8,A ceramic teapot.,2.049,frame,none,correct,gemini-3.1-flash-lite,Equivalent identifier.,1.0,0.9457,,0.2631578947368421,ir,Teapot,internvl:InternVL3_5-4B-Instruct:frame:73289310,/home/multimodality/Documents/Multimodality/annotationpipeline/models/internvl/InternVL3_5-4B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/ir,7.205,internvl,ir__aligned_dataset_brew_tea_split_seg1_ir__object_recognition__01,What is the specific object located on the heating plate between the patterned cup and the electric kettle?,,355767bf83fc25f0531123dd,False,0.0,0.6666666666666666,object_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned_4b/aligned_qa_frame_answers_InternVL3_5-4B-Instruct.json,answered,token_f1,General open-ended short answer.,0.6666666666666666,0.6666666666666666,1.0,0.5
0.5238095238095238,22,5.156,fixed_8frame_aligned_4b_frame_input_cu130_v1,0.47287080450158786,,0.7272727272727272,False,8,A kettle and teapot.,2.034,frame,missing_detail,partially_correct,gemini-3.1-flash-lite,"Missed the kettle, included cups not in reference.",0.5,1.3193,,0.6048387096774193,event,Tea cups and a teapot.,internvl:InternVL3_5-4B-Instruct:frame:73289310,/home/multimodality/Documents/Multimodality/annotationpipeline/models/internvl/InternVL3_5-4B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/event,7.19,internvl,event__aligned_dataset_brew_tea_split_seg1_event__event_object_recognition__01,What primary items are being manipulated on the table?,,77344155f982876523245ba9,False,0.0,0.5714285714285715,event_object_recognition,0.5,0.5,outputs/benchmarks/vlm_8frame_aligned_4b/aligned_qa_frame_answers_InternVL3_5-4B-Instruct.json,answered,set_f1,Ground truth contains multiple concepts.,0.5,0.5714285714285715,0.5,0.6666666666666666
0.0,4,5.156,fixed_8frame_aligned_4b_frame_input_cu130_v1,0.8408964152537145,,0.6666666666666666,False,8,A doorway.,2.049,frame,none,correct,gemini-3.1-flash-lite,Semantically equivalent.,1.0,0.7334,,0.0,depth,door,internvl:InternVL3_5-4B-Instruct:frame:73289310,/home/multimodality/Documents/Multimodality/annotationpipeline/models/internvl/InternVL3_5-4B-Instruct,0.0,,check_mailbox_split/Seg1/check_mailbox,7.205,internvl,depth__check_mailbox_split_seg1_check_mailbox__depth_object_recognition__01,What is the primary geometric structure visible that connects two distinct spaces?,,c124ced8460a524bce22bbbf,False,0.0,0.0,depth_object_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned_4b/aligned_qa_frame_answers_InternVL3_5-4B-Instruct.json,answered,token_f1,General open-ended short answer.,0.0,0.0,0.0,0.0
0.0,12,5.139,fixed_8frame_aligned_4b_frame_input_cu130_v1,0.14256747717620566,,0.4571428571428572,False,8,It is located behind the teacup.,2.059,frame,contradiction,incorrect,gemini-3.1-flash-lite,Contradicts the reference position (behind vs left).,0.0,1.4201,,0.0,rgb,To the left.,internvl:InternVL3_5-4B-Instruct:frame:73289310,/home/multimodality/Documents/Multimodality/annotationpipeline/models/internvl/InternVL3_5-4B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,7.198,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__spatial_reasoning__01,Where is the glass jar located relative to the patterned teacup?,,36c416d78f8c25958e2fc12c,False,0.0,0.0,spatial_reasoning,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned_4b/aligned_qa_frame_answers_InternVL3_5-4B-Instruct.json,answered,token_f1,General open-ended short answer.,0.0,0.0,0.0,0.0
0.0,5,5.156,fixed_8frame_aligned_4b_frame_input_cu130_v1,0.8408964152537145,,0.0,False,8,KEEP.,2.04,frame,wrong_entity,incorrect,gemini-3.1-flash-lite,Wrong word identified.,0.0,0.704,,0.0,rgb,sugar,internvl:InternVL3_5-4B-Instruct:frame:73289310,/home/multimodality/Documents/Multimodality/annotationpipeline/models/internvl/InternVL3_5-4B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,7.196,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__01,What word is visible on one of the containers in the red basket?,,88d6fa31589f8dcda2a97af7,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned_4b/aligned_qa_frame_answers_InternVL3_5-4B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
0.0,5,5.156,fixed_8frame_aligned_4b_frame_input_cu130_v1,0.8408964152537145,,0.0,False,8,LOVE.,2.043,frame,wrong_entity,incorrect,gemini-3.1-flash-lite,Wrong word identified.,0.0,0.6978,,0.0,rgb,sugar,internvl:InternVL3_5-4B-Instruct:frame:73289310,/home/multimodality/Documents/Multimodality/annotationpipeline/models/internvl/InternVL3_5-4B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,7.199,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__03,What word is visible on another container near the first one in the red basket?,,aa0b226611867146455828c8,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned_4b/aligned_qa_frame_answers_InternVL3_5-4B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
1.0,7,5.156,fixed_8frame_aligned_4b_frame_input_cu130_v1,1.0,,1.0,False,8,Chinese.,2.035,frame,none,correct,gemini-3.1-flash-lite,Semantically equivalent.,1.0,0.7016,,0.5,rgb,chinese,internvl:InternVL3_5-4B-Instruct:frame:73289310,/home/multimodality/Documents/Multimodality/annotationpipeline/models/internvl/InternVL3_5-4B-Instruct,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,7.191,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__04,What language are the characters on the tea tray in?,,4f3105376d1e6a254232e8c6,False,0.0,1.0,text_recognition,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned_4b/aligned_qa_frame_answers_InternVL3_5-4B-Instruct.json,answered,anls,Text-recognition answer.,1.0,1.0,1.0,1.0
0.0,3,5.156,fixed_8frame_aligned_4b_frame_input_cu130_v1,0.8408964152537145,,0.0,False,8,99.,2.034,frame,other,incorrect,gemini-3.1-flash-lite,Wrong numerical value.,0.0,0.7758,,0.0,rgb,100,internvl:InternVL3_5-4B-Instruct:frame:73289310,/home/multimodality/Documents/Multimodality/annotationpipeline/models/internvl/InternVL3_5-4B-Instruct,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,7.19,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__07,What is the final temperature shown in the video?,,d1f2211c179c5d1d7341152e,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned_4b/aligned_qa_frame_answers_InternVL3_5-4B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
1.0,4,5.156,fixed_8frame_aligned_4b_frame_input_cu130_v1,1.0,,1.0,False,8,Gold.,2.034,frame,none,correct,gemini-3.1-flash-lite,Correct color.,1.0,0.6224,,0.5,rgb,Gold,internvl:InternVL3_5-4B-Instruct:frame:73289310,/home/multimodality/Documents/Multimodality/annotationpipeline/models/internvl/InternVL3_5-4B-Instruct,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,7.19,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__08,What color are the characters on the tea tray?,,a20a6cef058bec05f2e4df8c,False,0.0,1.0,text_recognition,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned_4b/aligned_qa_frame_answers_InternVL3_5-4B-Instruct.json,answered,anls,Text-recognition answer.,1.0,1.0,1.0,1.0
