input,size,model_family,model,modality,section,section_raw,total,answered,answer_rate,judge_evaluated,task_aware_score,token_f1,bleu_4,rouge_l_f1,meteor,judge_strict_accuracy,judge_soft_accuracy
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,depth,action,depth_action,151,151,1.0,151,0.32796173657100813,0.2995374750341638,0.5745009851493363,0.2995374750341638,0.15831771233716896,0.3973509933774834,0.4337748344370861
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,depth,counting,depth_counting,103,103,1.0,103,0.23300970873786409,0.14789644012944983,0.5797748843380459,0.14789644012944983,0.07126235294349756,0.23300970873786409,0.23300970873786409
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,depth,dynamic_counting,depth_dynamic_counting,118,118,1.0,118,0.288135593220339,0.16581920903954803,0.7000096044421215,0.16581920903954803,0.07816509321861687,0.3135593220338983,0.3135593220338983
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,depth,dynamic_recognition,depth_dynamic_recognition,131,131,1.0,131,0.4424936386768448,0.3935478007997092,0.6344237616569227,0.3935478007997092,0.19358224935944376,0.5038167938931297,0.5152671755725191
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,depth,navigation,depth_navigation,53,53,1.0,53,0.4528301886792453,0.284366576819407,0.33124315955947126,0.284366576819407,0.13090165135026638,0.5283018867924528,0.5283018867924528
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,depth,non_common,depth_non_common,56,56,1.0,56,0.6964285714285714,0.5977040816326531,0.7649147837963095,0.5977040816326531,0.28877143609286465,0.6964285714285714,0.6964285714285714
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,depth,object_recognition,depth_object_recognition,49,49,1.0,49,0.1383219954648526,0.11689342403628118,0.49218032967112707,0.11689342403628118,0.07496843281617718,0.2653061224489796,0.29591836734693877
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,depth,scene_sequence,depth_scene_sequence,53,53,1.0,53,0.6855345911949686,0.4501418177333827,0.34799245621656205,0.4501418177333827,0.21231298231572557,0.7358490566037735,0.7452830188679245
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,depth,spatial_reasoning,depth_spatial_reasoning,50,50,1.0,50,0.5343333333333333,0.3857142857142857,0.3329147750400385,0.3857142857142857,0.1701636419434839,0.62,0.62
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,event,action,event_action,155,155,1.0,155,0.2995289298515105,0.2909267793138761,0.6448030278463256,0.2909267793138761,0.16570284149807837,0.3870967741935484,0.42258064516129035
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,event,counting,event_counting,139,139,1.0,139,0.41007194244604317,0.2589928057553957,0.8287480823457433,0.2589928057553957,0.1279818250662628,0.4028776978417266,0.4028776978417266
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,event,dynamic_counting,event_dynamic_counting,130,130,1.0,130,0.3,0.22820512820512823,0.8461583761653109,0.22820512820512823,0.11194331983805668,0.3230769230769231,0.3230769230769231
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,event,dynamic_recognition,event_dynamic_recognition,123,123,1.0,123,0.5429087624209575,0.538843721770551,0.748876194643618,0.538843721770551,0.2703850350191814,0.6422764227642277,0.6747967479674797
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,event,navigation,event_navigation,54,54,1.0,54,0.154320987654321,0.22657527657527657,0.43601826064721444,0.21394901394901394,0.12911550960380944,0.24074074074074073,0.25925925925925924
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,event,non_common,event_non_common,57,57,1.0,57,0.9649122807017544,0.9140350877192983,0.8985481708645318,0.9140350877192983,0.45121249068617486,0.9649122807017544,0.9649122807017544
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,event,object_recognition,event_object_recognition,54,54,1.0,54,0.3006172839506173,0.3172229005562339,0.5264167638815967,0.3172229005562339,0.17282040163630902,0.3333333333333333,0.42592592592592593
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,event,scene_sequence,event_scene_sequence,55,55,1.0,55,0.06363636363636363,0.08434030615848798,0.3284871639444507,0.08434030615848798,0.05380166800220602,0.10909090909090909,0.16363636363636364
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,event,spatial_reasoning,event_spatial_reasoning,55,55,1.0,55,0.41160173160173164,0.3825108225108225,0.49589466636628105,0.3825108225108225,0.246608490313575,0.4909090909090909,0.4909090909090909
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,ir,action,action,163,163,1.0,163,0.2856869442759013,0.2643172437650965,0.38270054682254234,0.26256439538648124,0.14071692230015515,0.43558282208588955,0.49693251533742333
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,ir,counting,counting,177,177,1.0,177,0.4519774011299435,0.2721004670157212,0.5665026939475685,0.2721004670157212,0.13042677383391088,0.4576271186440678,0.4576271186440678
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,ir,dynamic_counting,dynamic_counting,170,170,1.0,170,0.45294117647058824,0.34278244631185806,0.6788227312491122,0.34278244631185806,0.16448546029406766,0.5235294117647059,0.5294117647058824
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,ir,dynamic_recognition,dynamic_recognition,165,165,1.0,165,0.40975556430101884,0.33731951550133366,0.5647257573169822,0.33731951550133366,0.16480903086258392,0.47878787878787876,0.48787878787878786
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,ir,light_change,light_change,176,176,1.0,176,0.3808785595717414,0.2694196586242041,0.5042204427487693,0.2694196586242041,0.12454636819948382,0.4772727272727273,0.48011363636363635
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,ir,light_recognition,light_recognition,52,52,1.0,52,0.2898684648684649,0.23416305916305916,0.23765913742137867,0.22775280275280277,0.12151217204635888,0.46153846153846156,0.5
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,ir,navigation,navigation,165,165,1.0,165,0.23333333333333334,0.24576793576793576,0.40062247405478923,0.24325378325378325,0.12650565390270255,0.3333333333333333,0.3484848484848485
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,ir,non_common,non_common,56,56,1.0,56,0.8418367346938777,0.4430497383913533,0.3331011636522273,0.4430497383913533,0.2042322861249891,0.9107142857142857,0.9285714285714286
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,ir,object_recognition,object_recognition,51,51,1.0,51,0.25252100840336134,0.29607697185551857,0.26047048214333296,0.28580100961877203,0.15757859034753544,0.37254901960784315,0.45098039215686275
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,ir,scene_sequence,scene_sequence,177,177,1.0,177,0.260075329566855,0.23708097888234703,0.2987067240564104,0.23418815146309888,0.10941746976853634,0.4463276836158192,0.4689265536723164
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,ir,spatial_reasoning,spatial_reasoning,50,50,1.0,50,0.3435950715950716,0.3131838161838162,0.12377486927783032,0.3065171495171495,0.2046194673733061,0.6,0.62
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,ir,text_recognition,text_recognition,159,159,1.0,159,0.4517759015628766,0.3230123518596097,0.35816616265768353,0.3203030539227868,0.1685171103345973,0.5345911949685535,0.5471698113207547
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,rgb,action,action,266,266,1.0,266,0.33790368987737407,0.2740562799773326,0.3383868135290255,0.2707772490667228,0.13577417705458156,0.5075187969924813,0.5639097744360902
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,rgb,counting,counting,273,273,1.0,273,0.4725274725274725,0.2781073826104882,0.5653864292271636,0.2781073826104882,0.13255195027460978,0.47985347985347987,0.4816849816849817
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,rgb,dynamic_counting,dynamic_counting,279,279,1.0,279,0.4574273197929112,0.34414058661370495,0.5876155987778512,0.34414058661370495,0.16563680842374312,0.5089605734767025,0.514336917562724
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,rgb,dynamic_recognition,dynamic_recognition,157,157,1.0,157,0.3548880576980989,0.1941045029654996,0.31751055781020104,0.1941045029654996,0.08896835812672572,0.445859872611465,0.46178343949044587
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,rgb,light_change,light_change,288,288,1.0,288,0.4250801667468334,0.2775523116362577,0.4097455337313527,0.2775523116362577,0.13013337511726242,0.4756944444444444,0.4791666666666667
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,rgb,light_recognition,light_recognition,54,54,1.0,54,0.24642990754101865,0.2704451926674149,0.30194419839717535,0.261038961038961,0.12503755703407354,0.5,0.5185185185185185
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,rgb,navigation,navigation,273,273,1.0,265,0.22527472527472528,0.19184213040148126,0.2534350043801938,0.19096815058013303,0.08913950921504792,0.3849056603773585,0.4037735849056604
