anls,answer_length_chars,baseline_gpu_gb,benchmark_type,boolean_accuracy,character_f1,conciseness_violation,frame_count,ground_truth_answer,incremental_peak_gpu_gb,input_type,judge_error_type,judge_label,judge_model,judge_reason,judge_score,latency_seconds,max_frames_per_item,modality,model_answer,model_key,model_name,normalized_exact_match,numeric_accuracy,pair_key,peak_gpu_gb,provider,qa_id,question,reason,record_id,repetition_flag,repetition_ratio,rouge_l_f1,section,sequence_order_score,set_f1,source_path,status,task_aware_metric,task_aware_reason,task_aware_score,token_f1,token_precision,token_recall
0.0,4,5.139,native_day_night_video_answer_generation_v1,,0.33333333333333337,False,,A blue raindrop pattern.,13.771,video,missing_detail,partially_correct,gemini-3.1-flash-lite,"Answer misses the pattern detail, only stating the color.",0.5,9.0206,,rgb,blue,internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,models/internvl/InternVL3_5-4B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,18.91,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__object_recognition__01,What is the pattern on the white teacup located to the left of the tea tray?,,dc534362833034b257db0e21,False,0.0,0.5,object_recognition,0.0,0.0,outputs/benchmarks/vlm_native_video_4b/results/internvl_InternVL3_5-4B-Instruct.json,answered,token_f1,General open-ended short answer.,0.5,0.5,1.0,0.3333333333333333
0.0,4,5.147,native_day_night_video_answer_generation_v1,,0.19999999999999998,False,,It is located behind the teacup.,13.747,video,wrong_entity,incorrect,gemini-3.1-flash-lite,The relative location is incorrect.,0.0,2.9468,,rgb,left,internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,models/internvl/InternVL3_5-4B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,18.894,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__spatial_reasoning__01,Where is the glass jar located relative to the patterned teacup?,,b57a45db860aead972a28227,False,0.0,0.0,spatial_reasoning,0.0,0.0,outputs/benchmarks/vlm_native_video_4b/results/internvl_InternVL3_5-4B-Instruct.json,answered,token_f1,General open-ended short answer.,0.0,0.0,0.0,0.0
0.0,4,5.147,native_day_night_video_answer_generation_v1,,0.0,False,,KEEP.,13.743,video,wrong_entity,incorrect,gemini-3.1-flash-lite,The word visible is not soda.,0.0,2.9652,,rgb,soda,internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,models/internvl/InternVL3_5-4B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,18.89,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__01,What word is visible on one of the containers in the red basket?,,06f5a46c1a148a97801c26a5,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_native_video_4b/results/internvl_InternVL3_5-4B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
0.0,3,5.147,native_day_night_video_answer_generation_v1,,0.0,False,,96.,13.763,video,wrong_entity,incorrect,gemini-3.1-flash-lite,The temperature value is incorrect.,0.0,3.1009,,rgb,100,internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,models/internvl/InternVL3_5-4B-Instruct,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,18.91,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__02,What is the temperature shown on the digital display in frame 000600?,,9ff3efb278171a85fa05e6c9,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_native_video_4b/results/internvl_InternVL3_5-4B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
0.0,5,5.147,native_day_night_video_answer_generation_v1,,0.22222222222222224,False,,LOVE.,13.751,video,wrong_entity,incorrect,gemini-3.1-flash-lite,The word visible is not water.,0.0,2.8222,,rgb,water,internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,models/internvl/InternVL3_5-4B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,18.898,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__03,What word is visible on another container near the first one in the red basket?,,25183a9791748a6575a9bb6b,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_native_video_4b/results/internvl_InternVL3_5-4B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
1.0,7,5.147,native_day_night_video_answer_generation_v1,,1.0,False,,Chinese.,13.731,video,none,correct,gemini-3.1-flash-lite,Correct language identified.,1.0,3.0204,,rgb,chinese,internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,models/internvl/InternVL3_5-4B-Instruct,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,18.878,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__04,What language are the characters on the tea tray in?,,dd0a4c5a06471b3a44f77723,False,0.0,1.0,text_recognition,1.0,1.0,outputs/benchmarks/vlm_native_video_4b/results/internvl_InternVL3_5-4B-Instruct.json,answered,anls,Text-recognition answer.,1.0,1.0,1.0,1.0
0.0,3,5.147,native_day_night_video_answer_generation_v1,,0.0,False,,95.,13.747,video,wrong_entity,incorrect,gemini-3.1-flash-lite,The temperature reading is incorrect.,0.0,3.1011,,rgb,100,internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,models/internvl/InternVL3_5-4B-Instruct,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,18.894,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__05,What is the temperature reading in frame 000690?,,a6e9d5f62db5dee517ed11bb,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_native_video_4b/results/internvl_InternVL3_5-4B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
0.0,3,5.147,native_day_night_video_answer_generation_v1,,0.0,False,,98.,13.743,video,wrong_entity,incorrect,gemini-3.1-flash-lite,The temperature reading is incorrect.,0.0,3.0398,,rgb,100,internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,models/internvl/InternVL3_5-4B-Instruct,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,18.89,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__06,What temperature is displayed in frame 000840?,,3404bad430700480e4969eab,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_native_video_4b/results/internvl_InternVL3_5-4B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
0.0,3,5.147,native_day_night_video_answer_generation_v1,,0.0,False,,99.,13.727,video,wrong_entity,incorrect,gemini-3.1-flash-lite,The final temperature is incorrect.,0.0,3.0403,,rgb,100,internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,models/internvl/InternVL3_5-4B-Instruct,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,18.874,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__07,What is the final temperature shown in the video?,,b9bf3eff8c77efb150933ebf,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_native_video_4b/results/internvl_InternVL3_5-4B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
1.0,4,5.147,native_day_night_video_answer_generation_v1,,1.0,False,,Gold.,13.727,video,none,correct,gemini-3.1-flash-lite,Correct color identified.,1.0,2.8791,,rgb,gold,internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,models/internvl/InternVL3_5-4B-Instruct,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,18.874,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__08,What color are the characters on the tea tray?,,b47e0df3a0e704c899a02ccb,False,0.0,1.0,text_recognition,1.0,1.0,outputs/benchmarks/vlm_native_video_4b/results/internvl_InternVL3_5-4B-Instruct.json,answered,anls,Text-recognition answer.,1.0,1.0,1.0,1.0
