input,size,model_family,model,modality,section,section_raw,total,answered,answer_rate,judge_evaluated,task_aware_score,token_f1,bleu_4,rouge_l_f1,meteor,judge_strict_accuracy,judge_soft_accuracy
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,depth,ALL,ALL,764,764,1.0,764,0.39046684118673647,0.29973663112714544,0.5651497360997461,0.29973663112714544,0.14708372237256748,0.4410994764397906,0.45287958115183247
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,event,ALL,ALL,822,822,1.0,822,0.38310161047387326,0.3457177723601081,0.6882999407978327,0.34488830985181346,0.1822744706644351,0.43309002433090027,0.4555961070559611
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,ir,ALL,ALL,1561,1561,1.0,1561,0.37594574664794334,0.29097660259696934,0.43970562124116785,0.28916103628277845,0.14487908038496605,0.478539397821909,0.4974375400384369
frame 8,4B,InternVL3.5,InternVL3_5-4B-Instruct,rgb,ALL,ALL,2318,2318,1.0,2310,0.3583272413761738,0.26157014849103716,0.38264757999038035,0.26028430773053224,0.12770085751589466,0.4658008658008658,0.488961038961039
frame 8,4B,Molmo2,Molmo2-4B,depth,ALL,ALL,764,764,1.0,764,0.3226461752134559,0.21709060877674874,0.4829848189866606,0.21693662047985932,0.11325985032687894,0.35209424083769636,0.3586387434554974
frame 8,4B,Molmo2,Molmo2-4B,event,ALL,ALL,822,822,1.0,822,0.36671231858870706,0.2578352340914315,0.6269783236407701,0.25689023930519583,0.139854406214392,0.4099756690997567,0.4276155717761557
frame 8,4B,Molmo2,Molmo2-4B,ir,ALL,ALL,1561,1561,1.0,1561,0.3636734791669418,0.28079451400270256,0.4284488934349711,0.2784367348306041,0.1483490110159521,0.4823830877642537,0.5019218449711723
frame 8,4B,Molmo2,Molmo2-4B,rgb,ALL,ALL,2318,2318,1.0,2318,0.36952092020419813,0.2502290811487492,0.37245506443385185,0.2473689759452072,0.139014887095641,0.4784296807592752,0.4987057808455565
frame 8,4B,Qwen3-VL,Qwen3-VL-4B-Instruct,depth,ALL,ALL,764,764,1.0,764,0.3955049046052077,0.2918114158659075,0.5518299526407521,0.2918114158659075,0.14523250846377964,0.4319371727748691,0.44829842931937175
frame 8,4B,Qwen3-VL,Qwen3-VL-4B-Instruct,event,ALL,ALL,822,822,1.0,822,0.45860381317621457,0.32412280076272115,0.6857809278283723,0.3234169042741807,0.17385442636793724,0.5072992700729927,0.5298053527980535
frame 8,4B,Qwen3-VL,Qwen3-VL-4B-Instruct,ir,ALL,ALL,1561,1561,1.0,1561,0.46519048505435134,0.3360072738653629,0.44981960820476685,0.33332319953019546,0.1723316845412053,0.6060217809096733,0.6262011531069827
frame 8,4B,Qwen3-VL,Qwen3-VL-4B-Instruct,rgb,ALL,ALL,2318,2318,1.0,2318,0.44039636949525446,0.28282158408549884,0.38715710854951163,0.2802181652198696,0.146624397707479,0.5811044003451251,0.6056945642795514
frame 8,8B,InternVL3.5,InternVL3_5-8B-Instruct,depth,ALL,ALL,764,764,1.0,764,0.4500253937965672,0.32418882083765055,0.5733037978479496,0.3238615957067605,0.16396935871999593,0.49345549738219896,0.5104712041884817
frame 8,8B,InternVL3.5,InternVL3_5-8B-Instruct,event,ALL,ALL,822,822,1.0,822,0.4266635770285406,0.30676387683686956,0.6821701408043147,0.3061556043307868,0.16725295882833927,0.46958637469586373,0.4981751824817518
frame 8,8B,InternVL3.5,InternVL3_5-8B-Instruct,ir,ALL,ALL,1561,1561,1.0,1561,0.414784045251238,0.2838472358171149,0.4443858474823552,0.28158703160622206,0.1462593335846046,0.5169762972453555,0.5422805893657912
frame 8,8B,InternVL3.5,InternVL3_5-8B-Instruct,rgb,ALL,ALL,2318,2318,1.0,2318,0.3885544264380843,0.23866976580366636,0.38045901789940323,0.23768130663312748,0.11683049406902174,0.48792062122519414,0.5163934426229508
frame 8,8B,Molmo2,Molmo2-8B,depth,ALL,ALL,764,764,1.0,764,0.370513793173941,0.2670244944717535,0.5356058742151943,0.2668705061748641,0.1362293719251848,0.41492146596858637,0.42212041884816753
frame 8,8B,Molmo2,Molmo2-8B,event,ALL,ALL,822,822,1.0,822,0.38169582512648204,0.27570207178854705,0.6662701789968616,0.2745812278776368,0.14882103919969406,0.4367396593673966,0.45012165450121655
frame 8,8B,Molmo2,Molmo2-8B,ir,ALL,ALL,1561,1561,1.0,1561,0.376031247255186,0.2794747255292806,0.4316646377586436,0.27755996478873257,0.146269449519713,0.5080076873798847,0.5294682895579756
frame 8,8B,Molmo2,Molmo2-8B,rgb,ALL,ALL,2318,2318,1.0,2318,0.38340440828836825,0.25567378837088567,0.378010152369866,0.2527217031289289,0.1408741559266283,0.5163934426229508,0.5371009490940466
frame 8,8B,Qwen3-VL,Qwen3-VL-8B-Instruct,depth,ALL,ALL,764,764,1.0,764,0.45201728788495116,0.3284455077664117,0.5650878633220113,0.3282273576791517,0.1644188055929089,0.5013089005235603,0.5085078534031413
frame 8,8B,Qwen3-VL,Qwen3-VL-8B-Instruct,event,ALL,ALL,822,822,1.0,822,0.49707836094697405,0.3557107381896456,0.7012960813908727,0.3546100546072102,0.19446242324411908,0.5559610705596107,0.5772506082725061
frame 8,8B,Qwen3-VL,Qwen3-VL-8B-Instruct,ir,ALL,ALL,1561,1561,1.0,1561,0.46054624301349384,0.3261731231941561,0.44458081361391977,0.3237772587633325,0.16504232593067886,0.6111467008327995,0.6329276105060858
frame 8,8B,Qwen3-VL,Qwen3-VL-8B-Instruct,rgb,ALL,ALL,2318,2318,1.0,2318,0.4453824977471884,0.28440896910058017,0.3876915592280196,0.2819568457062059,0.1452752350974732,0.5815358067299397,0.6037532355478861
video,4B,InternVL3.5,InternVL3_5-4B-Instruct,depth,ALL,ALL,764,764,1.0,764,0.40370137425111247,0.3085100254602872,0.5539071584558388,0.3085100254602872,0.14966905247052975,0.44502617801047123,0.4568062827225131
video,4B,InternVL3.5,InternVL3_5-4B-Instruct,event,ALL,ALL,822,822,1.0,822,0.39081324190813244,0.3566276374350616,0.6801871312459269,0.3561971676615262,0.18346181564332437,0.4209245742092457,0.4416058394160584
video,4B,InternVL3.5,InternVL3_5-4B-Instruct,ir,ALL,ALL,1561,1561,1.0,1561,0.41576976922198094,0.3220277947437284,0.4412240583177629,0.32054392266239856,0.1596360742793272,0.5387572069186419,0.5573350416399744
video,4B,InternVL3.5,InternVL3_5-4B-Instruct,rgb,ALL,ALL,2318,2318,1.0,2318,0.3827773884113793,0.2857970001778586,0.3836617808561296,0.2845014903318742,0.13996891457442123,0.49611734253666956,0.5232959447799828
video,4B,Molmo2,Molmo2-4B,depth,ALL,ALL,764,764,1.0,764,0.4191767858251469,0.2971593930651253,0.5517319854950148,0.29705468102324045,0.15156566938570373,0.45287958115183247,0.4640052356020942
video,4B,Molmo2,Molmo2-4B,event,ALL,ALL,822,822,1.0,822,0.42248521956551155,0.29651707229102,0.6813038723938142,0.29484234798855846,0.15987055224869112,0.49391727493917276,0.5170316301703163
video,4B,Molmo2,Molmo2-4B,ir,ALL,ALL,1561,1561,1.0,1561,0.40392368578363297,0.27751662322490606,0.4377082452427296,0.27534696297430983,0.1419687764215955,0.5048046124279308,0.5246636771300448
video,4B,Molmo2,Molmo2-4B,rgb,ALL,ALL,2318,2318,1.0,2318,0.39442979856176275,0.24752815856933294,0.3838409408472046,0.2450411647750009,0.130320144789142,0.5064710957722174,0.5224331320103538
video,4B,Qwen3-VL,Qwen3-VL-4B-Instruct,depth,ALL,ALL,764,764,1.0,764,0.39015151515151514,0.2838590477046613,0.5537811302814476,0.2838590477046613,0.13951852178823776,0.4280104712041885,0.431282722513089
video,4B,Qwen3-VL,Qwen3-VL-4B-Instruct,event,ALL,ALL,822,822,1.0,822,0.4694051144629004,0.33198238167607974,0.6844438661494059,0.331712038340043,0.17555979951502562,0.5255474452554745,0.5462287104622872
video,4B,Qwen3-VL,Qwen3-VL-4B-Instruct,ir,ALL,ALL,1561,1561,1.0,1561,0.43772743685764026,0.30721991323529785,0.44453301697041575,0.30519867387657734,0.158944843534097,0.5637411915438821,0.5845611787315823
video,4B,Qwen3-VL,Qwen3-VL-4B-Instruct,rgb,ALL,ALL,2318,2318,1.0,2318,0.4310764825390187,0.27386240296027575,0.38547246370292954,0.27200426345606515,0.1391240055111775,0.5565142364106989,0.5785159620362381
video,8B,InternVL3.5,InternVL3_5-8B-Instruct,depth,ALL,ALL,764,764,1.0,763,0.40205177312507157,0.28690537425138596,0.5553417334147996,0.28625092398960583,0.1433750738836694,0.4338138925294889,0.4442988204456094
