anls,answer_length_chars,baseline_gpu_gb,benchmark_type,boolean_accuracy,character_f1,conciseness_violation,ground_truth_answer,incremental_peak_gpu_gb,input_type,judge_error_type,judge_label,judge_model,judge_reason,judge_score,latency_seconds,modality,model_answer,model_key,model_name,normalized_exact_match,numeric_accuracy,pair_key,peak_gpu_gb,provider,qa_id,question,reason,record_id,repetition_flag,repetition_ratio,rouge_l_f1,section,sequence_order_score,set_f1,source_path,status,task_aware_metric,task_aware_reason,task_aware_score,token_f1,token_precision,token_recall
0.0,9,8.42,shared_balanced_frame_count_smoke_v1,,0.4999999999999999,False,A blue raindrop pattern.,1.677,frame,missing_detail,partially_correct,gemini-2.5-flash,"Describes the color and general pattern, but misses the specific 'raindrop' shape.",0.5,1.0588,rgb,blue dots,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.097,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__object_recognition__01,What is the pattern on the white teacup located to the left of the tea tray?,,bd1f23784927773d08fe2dd0,False,0.0,0.4,object_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,token_f1,General open-ended short answer.,0.4,0.4,0.5,0.3333333333333333
0.0,7,8.428,shared_balanced_frame_count_smoke_v1,,0.6,False,A ceramic teapot.,1.67,frame,missing_detail,partially_correct,gemini-2.5-flash,Correctly identifies the object but omits the material type 'ceramic'.,0.5,0.7723,ir,tea pot,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/ir,10.098,internvl,ir__aligned_dataset_brew_tea_split_seg1_ir__object_recognition__01,What is the specific object located on the heating plate between the patterned cup and the electric kettle?,,f692e5bc4c83026fc96da46b,False,0.0,0.0,object_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,token_f1,General open-ended short answer.,0.0,0.0,0.0,0.0
0.0,8,8.428,shared_balanced_frame_count_smoke_v1,,0.34782608695652173,False,A kettle and teapot.,1.657,frame,wrong_entity,incorrect,gemini-2.5-flash,The candidate lists different items than the reference.,0.0,0.8598,event,Tea cups,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/event,10.085,internvl,event__aligned_dataset_brew_tea_split_seg1_event__event_object_recognition__01,What primary items are being manipulated on the table?,,12f1451a1eb3ee840b1a311f,False,0.0,0.0,event_object_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,set_f1,Ground truth contains multiple concepts.,0.0,0.0,0.0,0.0
0.0,4,8.428,shared_balanced_frame_count_smoke_v1,,0.6666666666666666,False,A doorway.,1.67,frame,missing_detail,partially_correct,gemini-2.5-flash,"Identifies a related object, but 'doorway' is a more precise description of the structure.",0.5,0.6912,depth,Door,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,check_mailbox_split/Seg1/check_mailbox,10.098,internvl,depth__check_mailbox_split_seg1_check_mailbox__depth_object_recognition__01,What is the primary geometric structure visible that connects two distinct spaces?,,29d059f6046d7e6e93bce5e0,False,0.0,0.0,depth_object_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,token_f1,General open-ended short answer.,0.0,0.0,0.0,0.0
0.0,4,8.42,shared_balanced_frame_count_smoke_v1,,0.19999999999999998,False,It is located behind the teacup.,1.672,frame,contradiction,incorrect,gemini-2.5-flash,The candidate provides an incorrect spatial location.,0.0,1.1053,rgb,left,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.091,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__spatial_reasoning__01,Where is the glass jar located relative to the patterned teacup?,,6a13577a1d842890cd6bf1c7,False,0.0,0.0,spatial_reasoning,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,token_f1,General open-ended short answer.,0.0,0.0,0.0,0.0
0.5,3,8.428,shared_balanced_frame_count_smoke_v1,,0.5714285714285715,False,KEEP.,1.662,frame,contradiction,incorrect,gemini-2.5-flash,The candidate misreads the visible word.,0.0,0.7782,rgb,KEM,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.09,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__01,What word is visible on one of the containers in the red basket?,,c9b24f6e32461c67f84d7e4a,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,anls,Text-recognition answer.,0.5,0.0,0.0,0.0
0.5,2,8.428,shared_balanced_frame_count_smoke_v1,,0.5,False,96.,1.669,frame,contradiction,incorrect,gemini-2.5-flash,The candidate provides a different temperature reading.,0.0,0.7774,rgb,98,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,10.097,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__02,What is the temperature shown on the digital display in frame 000600?,,7ef87edf2048ca3e6d86f066,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,anls,Text-recognition answer.,0.5,0.0,0.0,0.0
0.0,6,8.428,shared_balanced_frame_count_smoke_v1,,0.4,False,LOVE.,1.665,frame,wrong_entity,incorrect,gemini-2.5-flash,The candidate identifies a different word than the reference.,0.0,0.7697,rgb,Kettle,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.093,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__03,What word is visible on another container near the first one in the red basket?,,1ad5232fdbaafe8361763bf1,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
1.0,7,8.428,shared_balanced_frame_count_smoke_v1,,1.0,False,Chinese.,1.659,frame,none,correct,gemini-2.5-flash,The answer is semantically equivalent.,1.0,0.7732,rgb,chinese,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.086,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__04,What language are the characters on the tea tray in?,,637569647c89875bf79bcb35,False,0.0,1.0,text_recognition,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,anls,Text-recognition answer.,1.0,1.0,1.0,1.0
0.0,3,8.428,shared_balanced_frame_count_smoke_v1,,0.0,False,95.,1.664,frame,contradiction,incorrect,gemini-2.5-flash,The candidate provides a different temperature reading.,0.0,0.834,rgb,100,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,10.091,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__05,What is the temperature reading in frame 000690?,,0debc8da3c7122481a20dcda,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
0.0,3,8.428,shared_balanced_frame_count_smoke_v1,,0.4,False,98.,1.662,frame,contradiction,incorrect,gemini-2.5-flash,The candidate provides a different temperature reading.,0.0,0.8341,rgb,158,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,10.09,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__06,What temperature is displayed in frame 000840?,,f79dfad4c9bba96eef69a645,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
0.0,11,8.428,shared_balanced_frame_count_smoke_v1,,0.0,False,99.,1.657,frame,contradiction,incorrect,gemini-2.5-flash,The candidate provides a different final temperature.,0.0,0.8905,rgb,100 degrees,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,10.085,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__07,What is the final temperature shown in the video?,,fb5ea330b897af98bdc11667,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
1.0,4,8.428,shared_balanced_frame_count_smoke_v1,,1.0,False,Gold.,1.657,frame,none,correct,gemini-2.5-flash,The answer is semantically equivalent.,1.0,0.7108,rgb,gold,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.085,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__08,What color are the characters on the tea tray?,,6283e83e7ac064c89afa099a,False,0.0,1.0,text_recognition,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,anls,Text-recognition answer.,1.0,1.0,1.0,1.0
0.0,6,8.428,shared_balanced_frame_count_smoke_v1,,0.5,False,A tea table setup.,1.657,frame,missing_detail,partially_correct,gemini-2.5-flash,Identifies a component but misses the broader 'tea table setup'.,0.5,0.7684,rgb,kettle,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.085,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__01,What is the first thing I see after the darkness?,,f3543547735f2e3386b85cbe,False,0.0,0.0,scene_sequence,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,sequence_order_score,Ordered or temporal answer.,0.0,0.0,0.0,0.0
0.0,6,8.428,shared_balanced_frame_count_smoke_v1,,0.28571428571428575,False,The silver kettle.,1.653,frame,wrong_entity,incorrect,gemini-2.5-flash,The candidate identifies a different object.,0.0,0.7715,rgb,Teapot,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.081,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__05,What did the hand interact with first?,,8b8c1f89475d8681f5d1d7fb,False,0.0,0.0,scene_sequence,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,sequence_order_score,Ordered or temporal answer.,0.0,0.0,0.0,0.0
0.0,48,8.428,shared_balanced_frame_count_smoke_v1,,0.53125,False,The tea table with all objects.,1.656,frame,contradiction,incorrect,gemini-2.5-flash,Describes a completely different final scene.,0.0,1.2615,rgb,The final scene shows the video shows the stove.,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.084,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__06,What is the final scene shown in the video?,,464345f3d310efdd55211933,False,0.0,0.0,scene_sequence,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,sequence_order_score,Ordered or temporal answer.,0.0,0.0,0.0,0.0
1.0,2,8.428,shared_balanced_frame_count_smoke_v1,1.0,1.0,False,No.,1.653,frame,none,correct,gemini-2.5-flash,The answer is semantically equivalent.,1.0,0.7085,rgb,No,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.081,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__07,Did the camera move between different rooms?,,3c5bbe31ffb0fbe47d7cb5aa,False,0.0,1.0,scene_sequence,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,boolean_accuracy,Ground truth is a boolean answer.,1.0,1.0,1.0,1.0
1.0,3,8.428,shared_balanced_frame_count_smoke_v1,,1.0,False,Red.,1.657,frame,none,correct,gemini-2.5-flash,The answer is semantically equivalent.,1.0,0.7059,rgb,Red,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.085,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__10,What is the color of the basket in the background?,,88d953f0255435ab32b1a697,False,0.0,1.0,scene_sequence,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,sequence_order_score,Ordered or temporal answer.,1.0,1.0,1.0,1.0
0.0,12,8.428,shared_balanced_frame_count_smoke_v1,,0.4390243902439024,False,On the metallic kettle and the pot lid.,1.659,frame,contradiction,incorrect,gemini-2.5-flash,The candidate provides a different location for reflections.,0.0,0.8341,rgb,on the table,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.086,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_recognition__01,Where are the strongest light reflections visible in the scene?,,56175baa335c5f1559d8c7b1,False,0.0,0.25,light_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,set_f1,Ground truth contains multiple concepts.,0.0,0.25,0.5,0.16666666666666666
0.0,3,8.428,shared_balanced_frame_count_smoke_v1,,0.2222222222222222,False,Turn on.,1.657,frame,contradiction,incorrect,gemini-2.5-flash,The candidate contradicts whether the lights turned on or off.,0.0,0.7122,rgb,Off,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.085,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__01,Did the lights turn on or off at the beginning?,,46d83dd49245d1f2b97adf53,False,0.0,0.0,light_change,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,token_f1,General open-ended short answer.,0.0,0.0,0.0,0.0
0.0,6,8.428,shared_balanced_frame_count_smoke_v1,0.0,0.22222222222222224,False,"No, it remains consistent.",1.659,frame,contradiction,incorrect,gemini-2.5-flash,Candidate contradicts the reference that states the light remains consistent.,0.0,0.772,rgb,Darker,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.086,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__02,Is the light getting brighter or darker after the initial transition?,,057336ac8d0ca796129d1b7f,False,0.0,0.0,light_change,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,boolean_accuracy,Ground truth is a boolean answer.,0.0,0.0,0.0,0.0
1.0,2,8.428,shared_balanced_frame_count_smoke_v1,1.0,1.0,False,No.,1.651,frame,none,correct,gemini-2.5-flash,Matches the reference.,1.0,0.7101,rgb,No,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.078,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__03,Is the light source moving?,,e05e3cdc07db7dc85e42fd5c,False,0.0,1.0,light_change,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,boolean_accuracy,Ground truth is a boolean answer.,1.0,1.0,1.0,1.0
0.0,3,8.428,shared_balanced_frame_count_smoke_v1,0.0,0.0,False,No.,1.651,frame,contradiction,incorrect,gemini-2.5-flash,The candidate answer contradicts the ground truth.,0.0,0.7102,rgb,Yes,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.078,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__04,Does the light color change?,,48f7d934c7c01fd80aefc7d3,False,0.0,0.0,light_change,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,boolean_accuracy,Ground truth is a boolean answer.,0.0,0.0,0.0,0.0
0.0,3,8.428,shared_balanced_frame_count_smoke_v1,0.0,0.0,False,No.,1.655,frame,contradiction,incorrect,gemini-2.5-flash,Candidate contradicts the reference.,0.0,0.7043,rgb,Yes,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.082,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__05,Is there a flickering of the light?,,b79e52c71f1fa4f706a41d02,False,0.0,0.0,light_change,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,boolean_accuracy,Ground truth is a boolean answer.,0.0,0.0,0.0,0.0
0.0,3,8.428,shared_balanced_frame_count_smoke_v1,0.0,0.0,False,No.,1.653,frame,contradiction,incorrect,gemini-2.5-flash,Candidate contradicts the reference.,0.0,0.7085,rgb,Yes,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.081,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__06,Are there shadows moving across the table?,,f6efad34941bfa20f93d1c28,False,0.0,0.0,light_change,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,boolean_accuracy,Ground truth is a boolean answer.,0.0,0.0,0.0,0.0
1.0,2,8.428,shared_balanced_frame_count_smoke_v1,1.0,1.0,False,No.,1.66,frame,none,correct,gemini-2.5-flash,Matches the reference.,1.0,0.7062,rgb,No,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.087,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__07,Does any external light like a car's headlight pass by?,,6dd65f990b9a624fa5513caf,False,0.0,1.0,light_change,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,boolean_accuracy,Ground truth is a boolean answer.,1.0,1.0,1.0,1.0
