anls,answer_length_chars,baseline_gpu_gb,benchmark_type,boolean_accuracy,character_f1,conciseness_violation,frame_count,ground_truth_answer,incremental_peak_gpu_gb,input_type,judge_error_type,judge_label,judge_model,judge_reason,judge_score,latency_seconds,max_frames_per_item,modality,model_answer,model_key,model_name,normalized_exact_match,numeric_accuracy,pair_key,peak_gpu_gb,provider,qa_id,question,reason,record_id,repetition_flag,repetition_ratio,rouge_l_f1,section,sequence_order_score,set_f1,source_path,status,task_aware_metric,task_aware_reason,task_aware_score,token_f1,token_precision,token_recall
0.0,5,,frame_input_answer_generation,,0.32000000000000006,False,30,A blue raindrop pattern.,,frame,contradiction,incorrect,gemini-3.1-flash-lite,The answer 'strip' is incorrect; the ground truth is 'A blue raindrop pattern'.,0.0,,30,rgb,strip,molmo2:Molmo2-4B:frame:4ff6754c,allenai/Molmo2-4B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,,molmo2,rgb__aligned_dataset_brew_tea_split_seg1_rgb__object_recognition__01,What is the pattern on the white teacup located to the left of the tea tray?,,8ca8ac729be94e44302cc093,False,0.0,0.0,object_recognition,0.0,0.0,outputs/benchmarks/aligned_qa_frame_answers_allenai_Molmo2-4B.json,answered,token_f1,General open-ended short answer.,0.0,0.0,0.0,0.0
0.0,5,,frame_input_answer_generation,,0.1935483870967742,False,30,It is located behind the teacup.,,frame,contradiction,incorrect,gemini-3.1-flash-lite,"The position is 'behind', not 'right'.",0.0,,30,rgb,right,molmo2:Molmo2-4B:frame:4ff6754c,allenai/Molmo2-4B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,,molmo2,rgb__aligned_dataset_brew_tea_split_seg1_rgb__spatial_reasoning__01,Where is the glass jar located relative to the patterned teacup?,,4febe0ae057b312450dab6ee,False,0.0,0.0,spatial_reasoning,0.0,0.0,outputs/benchmarks/aligned_qa_frame_answers_allenai_Molmo2-4B.json,answered,token_f1,General open-ended short answer.,0.0,0.0,0.0,0.0
0.0,3,,frame_input_answer_generation,,0.28571428571428575,False,30,KEEP.,,frame,contradiction,incorrect,gemini-3.1-flash-lite,"The word is 'KEEP.', not 'tea'.",0.0,,30,rgb,tea,molmo2:Molmo2-4B:frame:4ff6754c,allenai/Molmo2-4B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,,molmo2,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__01,What word is visible on one of the containers in the red basket?,,e85f6d3b6a925f874629f628,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/aligned_qa_frame_answers_allenai_Molmo2-4B.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
0.5,1,,frame_input_answer_generation,,0.6666666666666666,False,30,96.,,frame,wrong_count,incorrect,gemini-3.1-flash-lite,"The temperature is 96, not 9.",0.0,,30,rgb,9,molmo2:Molmo2-4B:frame:4ff6754c,allenai/Molmo2-4B,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,,molmo2,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__02,What is the temperature shown on the digital display in frame 000600?,,cb784e56dc11d0ca84efac20,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/aligned_qa_frame_answers_allenai_Molmo2-4B.json,answered,anls,Text-recognition answer.,0.5,0.0,0.0,0.0
0.0,3,,frame_input_answer_generation,,0.28571428571428575,False,30,LOVE.,,frame,contradiction,incorrect,gemini-3.1-flash-lite,"The word is 'LOVE.', not 'tea'.",0.0,,30,rgb,tea,molmo2:Molmo2-4B:frame:4ff6754c,allenai/Molmo2-4B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,,molmo2,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__03,What word is visible on another container near the first one in the red basket?,,a4df05838595a7ec7dd2e944,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/aligned_qa_frame_answers_allenai_Molmo2-4B.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
0.5,8,,frame_input_answer_generation,,0.5333333333333333,False,30,Chinese.,,frame,contradiction,incorrect,gemini-3.1-flash-lite,"The language is Chinese, not Japanese.",0.0,,30,rgb,Japanese,molmo2:Molmo2-4B:frame:4ff6754c,allenai/Molmo2-4B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,,molmo2,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__04,What language are the characters on the tea tray in?,,48d97c455be1c9dcdeea7077,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/aligned_qa_frame_answers_allenai_Molmo2-4B.json,answered,anls,Text-recognition answer.,0.5,0.0,0.0,0.0
0.5,1,,frame_input_answer_generation,,0.6666666666666666,False,30,95.,,frame,wrong_count,incorrect,gemini-3.1-flash-lite,"The temperature is 95, not 9.",0.0,,30,rgb,9,molmo2:Molmo2-4B:frame:4ff6754c,allenai/Molmo2-4B,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,,molmo2,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__05,What is the temperature reading in frame 000690?,,5621e9ac7c36a43e3513470a,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/aligned_qa_frame_answers_allenai_Molmo2-4B.json,answered,anls,Text-recognition answer.,0.5,0.0,0.0,0.0
0.0,1,,frame_input_answer_generation,,0.0,False,30,98.,,frame,wrong_count,incorrect,gemini-3.1-flash-lite,"The temperature is 98, not 1.",0.0,,30,rgb,1,molmo2:Molmo2-4B:frame:4ff6754c,allenai/Molmo2-4B,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,,molmo2,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__06,What temperature is displayed in frame 000840?,,26dc2d7637a2d99f5aa8eab2,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/aligned_qa_frame_answers_allenai_Molmo2-4B.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
0.0,1,,frame_input_answer_generation,,0.0,False,30,99.,,frame,wrong_count,incorrect,gemini-3.1-flash-lite,"The final temperature is 99, not 1.",0.0,,30,rgb,1,molmo2:Molmo2-4B:frame:4ff6754c,allenai/Molmo2-4B,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,,molmo2,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__07,What is the final temperature shown in the video?,,d941eab58ca06d78b84be9f3,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/aligned_qa_frame_answers_allenai_Molmo2-4B.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
0.0,5,,frame_input_answer_generation,,0.0,False,30,Gold.,,frame,contradiction,incorrect,gemini-3.1-flash-lite,"The characters are gold, not white.",0.0,,30,rgb,white,molmo2:Molmo2-4B:frame:4ff6754c,allenai/Molmo2-4B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,,molmo2,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__08,What color are the characters on the tea tray?,,f49354a79a480a01f9584838,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/aligned_qa_frame_answers_allenai_Molmo2-4B.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
