answer,answer_count,caption,flags,modality,pair_key,qa_index,question,question_count,recommended_action,section,severity,source_file,source_status,split_status
A blue raindrop pattern.,1,"The video shows a collection of items on a wooden tea table. There is a black tea tray with gold Chinese characters. On the tray, a small dark brown clay teapot sits in the center, and a polished silver kettle with a wooden handle is positioned to its right. To the left of the tray, there is a white teacup with a blue raindrop pattern. Behind the cup, a glass jar with a gray lid contains a white substance. On the far left, several long, dark, jointed sugarcane stalks rest on a red and white striped towel. A large stainless steel pot with a glass lid is also on the table. Behind these items is a red woven basket containing various cylindrical containers and a green package. The floor is light-colored tile.",[],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,1,What is the pattern on the white teacup located to the left of the tea tray?,1,keep,object_recognition,pass,qa_pairs/aligned/rgb_qa_results_aligned.json,single,single
It is located behind the teacup.,1,"The white teacup is situated to the left of the black tea tray. The small clay teapot is centered on the tea tray, while the silver kettle is to its right. The glass jar is located behind the teacup and to the left of the tea tray. The sugarcane stalks are on the far left of the scene, resting on a towel. The large pot with the glass lid is positioned behind the silver kettle. I am standing approximately 1 step away from the edge of the tea table.",[],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,1,Where is the glass jar located relative to the patterned teacup?,1,keep,spatial_reasoning,pass,qa_pairs/aligned/rgb_qa_results_aligned.json,single,single
KEEP.,8,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,1,What word is visible on one of the containers in the red basket?,8,split,text_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
96.,8,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,2,What is the temperature shown on the digital display in frame 000600?,8,split,text_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
LOVE.,8,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,3,What word is visible on another container near the first one in the red basket?,8,split,text_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Chinese.,8,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,4,What language are the characters on the tea tray in?,8,split,text_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
95.,8,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,5,What is the temperature reading in frame 000690?,8,split,text_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
98.,8,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,6,What temperature is displayed in frame 000840?,8,split,text_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
99.,8,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,7,What is the final temperature shown in the video?,8,split,text_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Gold.,8,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,8,What color are the characters on the tea tray?,8,split,text_recognition,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
A tea table setup.,10,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,1,What is the first thing I see after the darkness?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
A small clay teapot.,10,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,2,What object did I see before the silver kettle?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Sugarcane stalks.,10,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,3,What is on the far left of the scene?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
A red woven basket.,10,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,4,What is behind the tea tray?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
The silver kettle.,10,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,5,What did the hand interact with first?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
The tea table with all objects.,10,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,6,What is the final scene shown in the video?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,10,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,7,Did the camera move between different rooms?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
A silver kettle.,10,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,8,What is to the right of the clay teapot?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Part of the red basket.,10,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,9,What is located behind the glass jar?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Red.,10,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,10,What is the color of the basket in the background?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
On the metallic kettle and the pot lid.,1,"The primary light source is an overhead room light that illuminates the scene from above, creating strong highlights on the metallic surfaces of the silver kettle and the large pot lid. The light is a cool white color, and there are reflections of the windows or lights visible on the polished wooden table and the black glass surface of the tea tray.",[],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,1,Where are the strongest light reflections visible in the scene?,1,keep,light_recognition,pass,qa_pairs/aligned/rgb_qa_results_aligned.json,single,single
Turn on.,8,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,1,Did the lights turn on or off at the beginning?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"No, it remains consistent.",8,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,2,Is the light getting brighter or darker after the initial transition?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
