anls,answer_rate,answered,character_f1,conciseness_violation_rate,frame_counts,incremental_peak_gpu_gb_max,judge_evaluated,judge_label_counts,judge_soft_accuracy,judge_strict_accuracy,judge_strict_accuracy_ci95,judge_unjudgeable_rate,latency_mean_seconds,latency_median_seconds,latency_p95_seconds,max_frames_per_item,model_key,normalized_exact_match,peak_gpu_gb_max,repetition_rate,rouge_l_f1,section,status_counts,task_aware_score,task_aware_score_ci95,throughput_qa_per_hour,token_f1,token_f1_ci95,total
0.16432464100888475,1.0,429,0.4764398429421463,0.0,[],13.751,429,"{""incorrect"": 155, ""correct"": 232, ""partially_correct"": 42}",0.5897435897435898,0.5407925407925408,"{""mean"": 0.5407925407925408, ""low"": 0.49417249417249415, ""high"": 0.585081585081585}",0.0,3.0479550116550116,2.9756,3.2814,[],internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,0.13286713286713286,18.898,0.0,0.28687439402165854,action,"{""answered"": 429}",0.33814423080157346,"{""mean"": 0.33814423080157346, ""low"": 0.3015617249882984, ""high"": 0.375556701780478}",1181.1197954805873,0.2882341453814099,"{""mean"": 0.2882341453814099, ""low"": 0.2559891370874505, ""high"": 0.3210992554986796}",429
0.24666666666666667,1.0,450,0.3707586096041557,0.0,[],13.775,450,"{""incorrect"": 210, ""correct"": 240}",0.5333333333333333,0.5333333333333333,"{""mean"": 0.5333333333333333, ""low"": 0.4888888888888889, ""high"": 0.5822222222222222}",0.0,2.962876222222222,2.9265,2.9535,[],internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,0.24666666666666667,18.922,0.0,0.2989052429052429,counting,"{""answered"": 450}",0.5222222222222223,"{""mean"": 0.5222222222222223, ""low"": 0.4777777777777778, ""high"": 0.5711111111111111}",1215.035570166317,0.2989052429052429,"{""mean"": 0.2989052429052429, ""low"": 0.2595473785473785, ""high"": 0.33775517075517075}",450
0.2709792933984597,1.0,151,0.525363137693551,0.0,[],13.747,151,"{""correct"": 60, ""incorrect"": 79, ""partially_correct"": 12}",0.4370860927152318,0.3973509933774834,"{""mean"": 0.3973509933774834, ""low"": 0.32450331125827814, ""high"": 0.48344370860927155}",0.0,3.08228940397351,2.9322,3.3519,[],internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,0.25165562913907286,18.894,0.0,0.30361132612788244,depth_action,"{""answered"": 151}",0.3136397083416951,"{""mean"": 0.3136397083416951, ""low"": 0.24844471202087096, ""high"": 0.3854839788614623}",1167.9630067699309,0.30361132612788244,"{""mean"": 0.30361132612788244, ""low"": 0.23642384105960265, ""high"": 0.375403036992441}",151
0.08321775312066575,1.0,103,0.17838714585582593,0.0,[],13.759,103,"{""correct"": 24, ""incorrect"": 79}",0.23300970873786409,0.23300970873786409,"{""mean"": 0.23300970873786409, ""low"": 0.1553398058252427, ""high"": 0.32038834951456313}",0.0,3.131745631067961,2.9315,5.6628,[],internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,0.07766990291262135,18.906,0.0,0.10420711974110032,depth_counting,"{""answered"": 103}",0.23300970873786409,"{""mean"": 0.23300970873786409, ""low"": 0.1553398058252427, ""high"": 0.32038834951456313}",1149.5186468169063,0.10420711974110032,"{""mean"": 0.10420711974110032, ""low"": 0.05307443365695793, ""high"": 0.15922330097087378}",103
0.2542372881355932,1.0,118,0.4585677477502004,0.0,[],13.759,118,"{""incorrect"": 67, ""correct"": 51}",0.4322033898305085,0.4322033898305085,"{""mean"": 0.4322033898305085, ""low"": 0.3474576271186441, ""high"": 0.5254237288135594}",0.0,3.1442805084745764,2.9306,6.1652,[],internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,0.2288135593220339,18.906,0.0,0.2810734463276836,depth_dynamic_counting,"{""answered"": 118}",0.423728813559322,"{""mean"": 0.423728813559322, ""low"": 0.3389830508474576, ""high"": 0.5169491525423728}",1144.9360164581856,0.2810734463276836,"{""mean"": 0.2810734463276836, ""low"": 0.20480225988700565, ""high"": 0.3615819209039548}",118
0.35269854024373914,1.0,131,0.4569514868203411,0.0,[],13.759,131,"{""incorrect"": 65, ""correct"": 66}",0.5038167938931297,0.5038167938931297,"{""mean"": 0.5038167938931297, ""low"": 0.4198473282442748, ""high"": 0.5954198473282443}",0.0,3.036530534351145,2.932,3.5946,[],internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,0.32061068702290074,18.906,0.015267175572519083,0.39878226099600145,depth_dynamic_recognition,"{""answered"": 131}",0.4577608142493639,"{""mean"": 0.4577608142493639, ""low"": 0.3750636132315522, ""high"": 0.539440203562341}",1185.563576349565,0.39878226099600145,"{""mean"": 0.39878226099600145, ""low"": 0.3243002544529262, ""high"": 0.476226826608506}",131
0.18029350104821804,1.0,53,0.3906848760612123,0.0,[],13.771,53,"{""correct"": 32, ""incorrect"": 20, ""partially_correct"": 1}",0.6132075471698113,0.6037735849056604,"{""mean"": 0.6037735849056604, ""low"": 0.4716981132075472, ""high"": 0.7358490566037735}",0.0,3.1648320754716983,2.9329,3.1685,[],internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,0.1509433962264151,18.918,0.0,0.3457322551662174,depth_navigation,"{""answered"": 53}",0.5283018867924528,"{""mean"": 0.5283018867924528, ""low"": 0.39622641509433965, ""high"": 0.660377358490566}",1137.501110375167,0.3457322551662174,"{""mean"": 0.3457322551662174, ""low"": 0.2531895777178796, ""high"": 0.44384546271338726}",53
0.42857142857142855,1.0,56,0.47616035361978565,0.0,[],13.775,56,"{""correct"": 31, ""incorrect"": 25}",0.5535714285714286,0.5535714285714286,"{""mean"": 0.5535714285714286, ""low"": 0.4107142857142857, ""high"": 0.6785714285714286}",0.0,3.1355964285714286,2.9593,3.0227,[],internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,0.42857142857142855,18.922,0.0,0.47831632653061223,depth_non_common,"{""answered"": 56}",0.5535714285714286,"{""mean"": 0.5535714285714286, ""low"": 0.4107142857142857, ""high"": 0.6785714285714286}",1148.1069334041026,0.47831632653061223,"{""mean"": 0.47831632653061223, ""low"": 0.3568877551020408, ""high"": 0.6017857142857143}",56
0.09869843382487571,1.0,49,0.4031559618392869,0.0,[],13.796,49,"{""incorrect"": 36, ""correct"": 9, ""partially_correct"": 4}",0.22448979591836735,0.1836734693877551,"{""mean"": 0.1836734693877551, ""low"": 0.08163265306122448, ""high"": 0.2857142857142857}",0.0,7.470014285714286,6.9981,10.7532,[],internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,0.061224489795918366,18.943,0.0,0.14410430839002267,depth_object_recognition,"{""answered"": 49}",0.1689342403628118,"{""mean"": 0.1689342403628118, ""low"": 0.07482993197278912, ""high"": 0.2687074829931973}",481.9267892010153,0.14410430839002267,"{""mean"": 0.14410430839002267, ""low"": 0.06848072562358276, ""high"": 0.22947845804988662}",49
0.2026554856743536,1.0,53,0.4025501347463399,0.0,[],13.775,53,"{""incorrect"": 20, ""correct"": 32, ""partially_correct"": 1}",0.6132075471698113,0.6037735849056604,"{""mean"": 0.6037735849056604, ""low"": 0.4716981132075472, ""high"": 0.7358490566037735}",0.0,2.950688679245283,2.9367,3.198,[],internvl:InternVL3_5-4B-Instruct:video:5bdd6a4d,0.18867924528301888,18.922,0.0,0.3651392632524708,depth_scene_sequence,"{""answered"": 53}",0.569811320754717,"{""mean"": 0.569811320754717, ""low"": 0.4339622641509434, ""high"": 0.7018867924528301}",1220.0541606852248,0.3651392632524708,"{""mean"": 0.3651392632524708, ""low"": 0.27547169811320754, ""high"": 0.45696316262354}",53
