answer,answer_count,caption,confidence,end_seconds,end_timestamp,flags,modality,pair_index,question,question_count,recommended_action,section,segment_confidence,segment_id,severity,side,source_files,source_media,source_prefix,source_unit_index,split_status,start_seconds,start_timestamp,task_label,timestamp
Standing up from the desk.,1,"I stand up from the desk, likely to go check the mail. I walk across the room, navigate through the apartment door, and traverse the building's hallway. I then push open the exit door to reach the stairwell and carefully walk down the metal steps. The purpose is to exit the building and reach the mailbox area outside.",0.85,64.0,00:01:04.000,"[""frame_reference""]",rgb,1,What is my first action in the video?,1,review,action,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,0.0,00:00:00.000,walk to mailbox,
To check the mailbox.,1,"I stand up from the desk, likely to go check the mail. I walk across the room, navigate through the apartment door, and traverse the building's hallway. I then push open the exit door to reach the stairwell and carefully walk down the metal steps. The purpose is to exit the building and reach the mailbox area outside.",0.85,64.0,00:01:04.000,[],rgb,2,Why am I leaving the room?,1,keep,action,0.9,check_mailbox_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,0.0,00:00:00.000,walk to mailbox,
I push it open.,1,"I stand up from the desk, likely to go check the mail. I walk across the room, navigate through the apartment door, and traverse the building's hallway. I then push open the exit door to reach the stairwell and carefully walk down the metal steps. The purpose is to exit the building and reach the mailbox area outside.",0.85,64.0,00:01:04.000,"[""frame_reference""]",rgb,3,What do I do when I reach the door in frame 001260?,1,review,action,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,0.0,00:00:00.000,walk to mailbox,
By walking straight down its center.,1,"I stand up from the desk, likely to go check the mail. I walk across the room, navigate through the apartment door, and traverse the building's hallway. I then push open the exit door to reach the stairwell and carefully walk down the metal steps. The purpose is to exit the building and reach the mailbox area outside.",0.85,64.0,00:01:04.000,[],rgb,4,How do I navigate the hallway?,1,keep,action,0.9,check_mailbox_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,0.0,00:00:00.000,walk to mailbox,
I reach the ground level outside.,1,"I stand up from the desk, likely to go check the mail. I walk across the room, navigate through the apartment door, and traverse the building's hallway. I then push open the exit door to reach the stairwell and carefully walk down the metal steps. The purpose is to exit the building and reach the mailbox area outside.",0.85,64.0,00:01:04.000,[],rgb,5,What is the result of me walking down the stairs?,1,keep,action,0.9,check_mailbox_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,0.0,00:00:00.000,walk to mailbox,
It doesn't appear so.,1,"I stand up from the desk, likely to go check the mail. I walk across the room, navigate through the apartment door, and traverse the building's hallway. I then push open the exit door to reach the stairwell and carefully walk down the metal steps. The purpose is to exit the building and reach the mailbox area outside.",0.85,64.0,00:01:04.000,[],rgb,6,Am I carrying anything in my hands?,1,keep,action,0.9,check_mailbox_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,0.0,00:00:00.000,walk to mailbox,
No.,1,"I stand up from the desk, likely to go check the mail. I walk across the room, navigate through the apartment door, and traverse the building's hallway. I then push open the exit door to reach the stairwell and carefully walk down the metal steps. The purpose is to exit the building and reach the mailbox area outside.",0.85,64.0,00:01:04.000,"[""short_answer""]",rgb,7,Do I stop at any point in the hallway?,1,review,action,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,0.0,00:00:00.000,walk to mailbox,
Descending the stairs.,1,"I stand up from the desk, likely to go check the mail. I walk across the room, navigate through the apartment door, and traverse the building's hallway. I then push open the exit door to reach the stairwell and carefully walk down the metal steps. The purpose is to exit the building and reach the mailbox area outside.",0.85,64.0,00:01:04.000,[],rgb,8,What is the final action in this segment?,1,keep,action,0.9,check_mailbox_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,0,single,0.0,00:00:00.000,walk to mailbox,
One.,1,"I can identify several key objects: 1 bed, 1 desk, at least 4 grey doors in the hallway, 1 exit sign, and 1 metal stairwell. I also count 2 light switches near the bedroom door and 1Guy Fawkes poster on the window sill.",0.85,64.0,00:01:04.000,"[""short_answer""]",rgb,1,How many beds are in the starting room?,1,review,counting,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,0.0,00:00:00.000,walk to mailbox,
One.,1,"I can identify several key objects: 1 bed, 1 desk, at least 4 grey doors in the hallway, 1 exit sign, and 1 metal stairwell. I also count 2 light switches near the bedroom door and 1Guy Fawkes poster on the window sill.",0.85,64.0,00:01:04.000,"[""short_answer""]",rgb,2,How many desks are visible?,1,review,counting,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,0.0,00:00:00.000,walk to mailbox,
