source_qa_id,question,source_modality,source_section,ground_truth_answer,rgb_score,rgb_rank,ir_score,ir_rank,event_score,event_rank,depth_score,depth_rank
depth__check_mailbox_split_seg1_check_mailbox__depth_action__01,What is my primary action in the video?,depth,depth_action,Moving through a doorway.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg1_check_mailbox__depth_dynamic_recognition__01,Is the person moving closer to me?,depth,depth_dynamic_recognition,"Yes, they are.",0.0,2,0.0,2,0.5,1,0.5,1
depth__check_mailbox_split_seg1_check_mailbox__depth_navigation__01,Is the pathway through the door clear for movement?,depth,depth_navigation,"Yes, it is clear.",0.4,1,0.4,1,0.4,1,0.4,1
depth__check_mailbox_split_seg1_check_mailbox__depth_non_common__01,Are there any floating objects or impossible geometry in the scene?,depth,depth_non_common,"No, there are none.",0.4,1,0.4,1,0.4,1,0.4,1
depth__check_mailbox_split_seg1_check_mailbox__depth_object_recognition__01,What is the primary geometric structure visible that connects two distinct spaces?,depth,depth_object_recognition,A doorway.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg1_check_mailbox__depth_scene_sequence__01,What is the sequence of spaces I move through?,depth,depth_scene_sequence,From a room through a doorway into a second room.,0.16666666666666666,3,0.4,1,0.18181818181818182,2,0.0,4
depth__check_mailbox_split_seg1_check_mailbox__depth_spatial_reasoning__01,Is the table-like object closer to me than the items on the floor in the further room?,depth,depth_spatial_reasoning,"Yes, it is closer.",0.4,1,0.4,1,0.4,1,0.4,1
depth__check_mailbox_split_seg2_check_mailbox__depth_action__01,What action am I performing as I move through this stairwell?,depth,depth_action,Descending the stairs.,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,0.0,2
depth__check_mailbox_split_seg2_check_mailbox__depth_counting__01,How many main staircase levels can I see in the 3D scene?,depth,depth_counting,Three levels.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg2_check_mailbox__depth_dynamic_counting__01,How many moving people did I encounter during my descent?,depth,depth_dynamic_counting,Zero.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg2_check_mailbox__depth_dynamic_recognition__01,Are there any moving objects in this scene?,depth,depth_dynamic_recognition,No.,1.0,1,1.0,1,1.0,1,0.0,2
depth__check_mailbox_split_seg2_check_mailbox__depth_navigation__01,Is the staircase a safe path for moving between these levels?,depth,depth_navigation,"Yes, it is.",0.5,1,0.5,1,0.5,1,0.0,2
depth__check_mailbox_split_seg2_check_mailbox__depth_non_common__01,Are there any floating objects in the depth stream?,depth,depth_non_common,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__check_mailbox_split_seg2_check_mailbox__depth_object_recognition__01,What is the primary geometric structure visible in front of me?,depth,depth_object_recognition,An exterior stairwell.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg2_check_mailbox__depth_scene_sequence__01,Does the path I am following move along a single horizontal level?,depth,depth_scene_sequence,"No, it moves vertically.",0.4,1,0.4,1,0.4,1,0.4,1
depth__check_mailbox_split_seg2_check_mailbox__depth_spatial_reasoning__01,Is the staircase railing closer to me than the tree on the left?,depth,depth_spatial_reasoning,"Yes, it is closer.",0.4,1,0.4,1,0.4,1,0.4,1
depth__check_mailbox_split_seg3_check_mailbox__depth_action__01,What is the primary action I am performing as the camera moves?,depth,depth_action,Moving forward.,0.0,2,0.0,2,0.0,2,1.0,1
depth__check_mailbox_split_seg3_check_mailbox__depth_counting__01,How many cars are visible in the parking area at the end of the sequence?,depth,depth_counting,Two.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg3_check_mailbox__depth_dynamic_counting__01,How many people walk past me during the sequence?,depth,depth_dynamic_counting,Zero.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg3_check_mailbox__depth_navigation__01,Is the current path I am following a dead-end or does it lead to an open area?,depth,depth_navigation,It leads to an open area.,0.5714285714285715,1,0.5714285714285715,1,0.5714285714285715,1,0.5714285714285715,1
depth__check_mailbox_split_seg3_check_mailbox__depth_non_common__01,Are there any floating objects or depth artifacts visible in the corridor walls?,depth,depth_non_common,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__check_mailbox_split_seg3_check_mailbox__depth_object_recognition__01,What is the primary architectural feature located to the right side of the corridor that defines the boundary of the space?,depth,depth_object_recognition,A balcony railing.,0.5,1,0.0,2,0.0,2,0.0,2
