input,model_family,modality,section,section_raw_4b,section_raw_8b,total_4b,total_8b,task_aware_score_4b,task_aware_score_8b,task_aware_score_delta_8b_minus_4b,token_f1_4b,token_f1_8b,token_f1_delta_8b_minus_4b,bleu_4_4b,bleu_4_8b,bleu_4_delta_8b_minus_4b,rouge_l_f1_4b,rouge_l_f1_8b,rouge_l_f1_delta_8b_minus_4b,meteor_4b,meteor_8b,meteor_delta_8b_minus_4b,judge_strict_accuracy_4b,judge_strict_accuracy_8b,judge_strict_accuracy_delta_8b_minus_4b,judge_soft_accuracy_4b,judge_soft_accuracy_8b,judge_soft_accuracy_delta_8b_minus_4b
frame 8,InternVL3.5,depth,ALL,ALL,ALL,764,764,0.39046684118673647,0.4500253937965672,0.05955855260983073,0.29973663112714544,0.32418882083765055,0.024452189710505112,0.5651497360997461,0.5733037978479496,0.008154061748203545,0.29973663112714544,0.3238615957067605,0.02412496457961505,0.14708372237256748,0.16396935871999593,0.016885636347428457,0.4410994764397906,0.49345549738219896,0.05235602094240838,0.45287958115183247,0.5104712041884817,0.05759162303664922
frame 8,InternVL3.5,depth,action,depth_action,depth_action,151,151,0.32796173657100813,0.31820374794663847,-0.009757988624369662,0.2995374750341638,0.2897269267545855,-0.00981054827957828,0.5745009851493363,0.591442814570079,0.016941829420742627,0.2995374750341638,0.2897269267545855,-0.00981054827957828,0.15831771233716896,0.15733768998181638,-0.0009800223553525778,0.3973509933774834,0.3576158940397351,-0.039735099337748325,0.4337748344370861,0.3973509933774834,-0.03642384105960267
frame 8,InternVL3.5,depth,counting,depth_counting,depth_counting,103,103,0.23300970873786409,0.2524271844660194,0.01941747572815533,0.14789644012944983,0.10906148867313915,-0.038834951456310676,0.5797748843380459,0.5750420332643765,-0.004732851073669386,0.14789644012944983,0.10906148867313915,-0.038834951456310676,0.07126235294349756,0.053972030999677116,-0.017290321943820443,0.23300970873786409,0.2524271844660194,0.01941747572815533,0.23300970873786409,0.2524271844660194,0.01941747572815533
frame 8,InternVL3.5,depth,dynamic_counting,depth_dynamic_counting,depth_dynamic_counting,118,118,0.288135593220339,0.4830508474576271,0.19491525423728812,0.16581920903954803,0.22937853107344633,0.0635593220338983,0.7000096044421215,0.7103274854340772,0.010317880991955741,0.16581920903954803,0.22937853107344633,0.0635593220338983,0.07816509321861687,0.10997661354485619,0.03181152032623932,0.3135593220338983,0.5169491525423728,0.20338983050847453,0.3135593220338983,0.5211864406779662,0.20762711864406785
frame 8,InternVL3.5,depth,dynamic_recognition,depth_dynamic_recognition,depth_dynamic_recognition,131,131,0.4424936386768448,0.4801708469647401,0.03767720828789528,0.3935478007997092,0.4295710650672483,0.0360232642675391,0.6344237616569227,0.635174685516729,0.0007509238598062407,0.3935478007997092,0.4295710650672483,0.0360232642675391,0.19358224935944376,0.21449895285449194,0.020916703495048178,0.5038167938931297,0.5267175572519084,0.022900763358778664,0.5152671755725191,0.549618320610687,0.03435114503816794
frame 8,InternVL3.5,depth,navigation,depth_navigation,depth_navigation,53,53,0.4528301886792453,0.6415094339622641,0.18867924528301883,0.284366576819407,0.39205888451171467,0.10769230769230764,0.33124315955947126,0.3558623939997846,0.02461923444031333,0.284366576819407,0.39205888451171467,0.10769230769230764,0.13090165135026638,0.1943648129529265,0.06346316160266013,0.5283018867924528,0.7169811320754716,0.18867924528301883,0.5283018867924528,0.7169811320754716,0.18867924528301883
frame 8,InternVL3.5,depth,non_common,depth_non_common,depth_non_common,56,56,0.6964285714285714,0.8075396825396826,0.11111111111111116,0.5977040816326531,0.7106009070294784,0.11289682539682533,0.7649147837963095,0.7537242874609352,-0.011190496335374278,0.5977040816326531,0.7106009070294784,0.11289682539682533,0.28877143609286465,0.3458241404669976,0.057052704374132956,0.6964285714285714,0.8035714285714286,0.1071428571428572,0.6964285714285714,0.8035714285714286,0.1071428571428572
frame 8,InternVL3.5,depth,object_recognition,depth_object_recognition,depth_object_recognition,49,49,0.1383219954648526,0.14512471655328799,0.006802721088435382,0.11689342403628118,0.12913832199546485,0.012244897959183668,0.49218032967112707,0.5092181489811202,0.017037819309993096,0.11689342403628118,0.12403628117913831,0.007142857142857131,0.07496843281617718,0.09356231536682665,0.018593882550649463,0.2653061224489796,0.2653061224489796,0.0,0.29591836734693877,0.3163265306122449,0.020408163265306145
frame 8,InternVL3.5,depth,scene_sequence,depth_scene_sequence,depth_scene_sequence,53,53,0.6855345911949686,0.660377358490566,-0.02515723270440262,0.4501418177333827,0.4113804896546295,-0.03876132807875321,0.34799245621656205,0.346024704989251,-0.0019677512273110764,0.4501418177333827,0.4113804896546295,-0.03876132807875321,0.21231298231572557,0.20297574582896338,-0.009337236486762185,0.7358490566037735,0.7169811320754716,-0.018867924528301883,0.7452830188679245,0.7358490566037735,-0.009433962264150941
frame 8,InternVL3.5,depth,spatial_reasoning,depth_spatial_reasoning,depth_spatial_reasoning,50,50,0.5343333333333333,0.5706984126984127,0.03636507936507938,0.3857142857142857,0.4130793650793651,0.027365079365079426,0.3329147750400385,0.3616022880260415,0.028687512986002972,0.3857142857142857,0.4130793650793651,0.027365079365079426,0.1701636419434839,0.19738243050115717,0.027218788557673262,0.62,0.66,0.040000000000000036,0.62,0.66,0.040000000000000036
