answer,caption,modality,pair_key,qa_id,question,section,source_answer,source_file,source_flags,source_question,source_severity,source_split_status,split_count,split_index,transform
A blue raindrop pattern.,"The video shows a collection of items on a wooden tea table. There is a black tea tray with gold Chinese characters. On the tray, a small dark brown clay teapot sits in the center, and a polished silver kettle with a wooden handle is positioned to its right. To the left of the tray, there is a white teacup with a blue raindrop pattern. Behind the cup, a glass jar with a gray lid contains a white substance. On the far left, several long, dark, jointed sugarcane stalks rest on a red and white striped towel. A large stainless steel pot with a glass lid is also on the table. Behind these items is a red woven basket containing various cylindrical containers and a green package. The floor is light-colored tile.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__object_recognition__01,What is the pattern on the white teacup located to the left of the tea tray?,object_recognition,A blue raindrop pattern.,qa_pairs/aligned/rgb_qa_results_aligned.json,,What is the pattern on the white teacup located to the left of the tea tray?,pass,single,1,1,none
It is located behind the teacup.,"The white teacup is situated to the left of the black tea tray. The small clay teapot is centered on the tea tray, while the silver kettle is to its right. The glass jar is located behind the teacup and to the left of the tea tray. The sugarcane stalks are on the far left of the scene, resting on a towel. The large pot with the glass lid is positioned behind the silver kettle. I am standing approximately 1 step away from the edge of the tea table.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__spatial_reasoning__01,Where is the glass jar located relative to the patterned teacup?,spatial_reasoning,It is located behind the teacup.,qa_pairs/aligned/rgb_qa_results_aligned.json,,Where is the glass jar located relative to the patterned teacup?,pass,single,1,1,none
KEEP.,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__01,What word is visible on one of the containers in the red basket?,text_recognition,1. KEEP. 2. 96. 3. LOVE. 4. Chinese. 5. 95. 6. 98. 7. 99. 8. Gold.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What word is visible on one of the containers in the red basket? 2. What is the temperature shown on the digital display in frame 000600? 3. What word is visible on another container near the first one in the red basket? 4. What language are the characters on the tea tray in? 5. What is the temperature reading in frame 000690? 6. What temperature is displayed in frame 000840? 7. What is the final temperature shown in the video? 8. What color are the characters on the tea tray?,needs_transform,aligned,8,1,split_multi_question
96.,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__02,What is the temperature shown on the digital display in frame 000600?,text_recognition,1. KEEP. 2. 96. 3. LOVE. 4. Chinese. 5. 95. 6. 98. 7. 99. 8. Gold.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What word is visible on one of the containers in the red basket? 2. What is the temperature shown on the digital display in frame 000600? 3. What word is visible on another container near the first one in the red basket? 4. What language are the characters on the tea tray in? 5. What is the temperature reading in frame 000690? 6. What temperature is displayed in frame 000840? 7. What is the final temperature shown in the video? 8. What color are the characters on the tea tray?,needs_transform,aligned,8,2,split_multi_question
LOVE.,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__03,What word is visible on another container near the first one in the red basket?,text_recognition,1. KEEP. 2. 96. 3. LOVE. 4. Chinese. 5. 95. 6. 98. 7. 99. 8. Gold.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What word is visible on one of the containers in the red basket? 2. What is the temperature shown on the digital display in frame 000600? 3. What word is visible on another container near the first one in the red basket? 4. What language are the characters on the tea tray in? 5. What is the temperature reading in frame 000690? 6. What temperature is displayed in frame 000840? 7. What is the final temperature shown in the video? 8. What color are the characters on the tea tray?,needs_transform,aligned,8,3,split_multi_question
Chinese.,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__04,What language are the characters on the tea tray in?,text_recognition,1. KEEP. 2. 96. 3. LOVE. 4. Chinese. 5. 95. 6. 98. 7. 99. 8. Gold.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What word is visible on one of the containers in the red basket? 2. What is the temperature shown on the digital display in frame 000600? 3. What word is visible on another container near the first one in the red basket? 4. What language are the characters on the tea tray in? 5. What is the temperature reading in frame 000690? 6. What temperature is displayed in frame 000840? 7. What is the final temperature shown in the video? 8. What color are the characters on the tea tray?,needs_transform,aligned,8,4,split_multi_question
95.,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__05,What is the temperature reading in frame 000690?,text_recognition,1. KEEP. 2. 96. 3. LOVE. 4. Chinese. 5. 95. 6. 98. 7. 99. 8. Gold.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What word is visible on one of the containers in the red basket? 2. What is the temperature shown on the digital display in frame 000600? 3. What word is visible on another container near the first one in the red basket? 4. What language are the characters on the tea tray in? 5. What is the temperature reading in frame 000690? 6. What temperature is displayed in frame 000840? 7. What is the final temperature shown in the video? 8. What color are the characters on the tea tray?,needs_transform,aligned,8,5,split_multi_question
98.,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__06,What temperature is displayed in frame 000840?,text_recognition,1. KEEP. 2. 96. 3. LOVE. 4. Chinese. 5. 95. 6. 98. 7. 99. 8. Gold.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What word is visible on one of the containers in the red basket? 2. What is the temperature shown on the digital display in frame 000600? 3. What word is visible on another container near the first one in the red basket? 4. What language are the characters on the tea tray in? 5. What is the temperature reading in frame 000690? 6. What temperature is displayed in frame 000840? 7. What is the final temperature shown in the video? 8. What color are the characters on the tea tray?,needs_transform,aligned,8,6,split_multi_question
99.,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__07,What is the final temperature shown in the video?,text_recognition,1. KEEP. 2. 96. 3. LOVE. 4. Chinese. 5. 95. 6. 98. 7. 99. 8. Gold.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What word is visible on one of the containers in the red basket? 2. What is the temperature shown on the digital display in frame 000600? 3. What word is visible on another container near the first one in the red basket? 4. What language are the characters on the tea tray in? 5. What is the temperature reading in frame 000690? 6. What temperature is displayed in frame 000840? 7. What is the final temperature shown in the video? 8. What color are the characters on the tea tray?,needs_transform,aligned,8,7,split_multi_question
Gold.,"The digital display on the tea tray shows temperature readings: '100' in frame 000180, '96' in frame 000600, '95' in frame 000690, '97' in frame 000750, '98' in frame 000840, and '99' in frame 000870. In the red basket, one white container has the word 'KEEP' (frame 000180) and another container nearby has the word 'LOVE' (frame 000210). There are Chinese characters etched in gold on the black tea tray.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__08,What color are the characters on the tea tray?,text_recognition,1. KEEP. 2. 96. 3. LOVE. 4. Chinese. 5. 95. 6. 98. 7. 99. 8. Gold.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What word is visible on one of the containers in the red basket? 2. What is the temperature shown on the digital display in frame 000600? 3. What word is visible on another container near the first one in the red basket? 4. What language are the characters on the tea tray in? 5. What is the temperature reading in frame 000690? 6. What temperature is displayed in frame 000840? 7. What is the final temperature shown in the video? 8. What color are the characters on the tea tray?,needs_transform,aligned,8,8,split_multi_question
