caption_id,modality,pair_key,source_file,sections,num_existing_qa,caption
66b9a041e29d,audio,aligned_dataset/check_mailbox_split/Seg1/check_mailbox,qa_pairs/aligned/audio_qa_results_aligned.json,audio_qa_pair;audio_qa_pair_2;audio_qa_pair_3,3,"[00:00 - 00:02] A loud, metallic click occurs as the camera operator opens a wooden door, followed by a subtle rustling sound as they step into the hallway. [00:11 - 00:14] The muffled sound of soft-soled shoes rhythmic against a hard-surfaced floor indicates the person is walking through an entry area past shoe racks. [00:18 - 00:23] A crisp, mechanical clicking sound is audible, coinciding with the person reaching down and adjusting the laces of their white athletic sneakers. [00:26 - 00:28] A light, hollow tapping sound occurs as the person brushes their hand against a small wooden cabinet to retrieve keys before moving toward the final doorway."
b101180a32f4,audio,aligned_dataset/check_mailbox_split/Seg2/check_mailbox,qa_pairs/aligned/audio_qa_results_aligned.json,audio_qa_pair;audio_qa_pair_2,2,"[00:13 – 00:17] A metallic, mechanical clicking sound is heard as the person reaches for and manipulates a door handle. This auditory cue aligns with the visual action of the person grasping the handle to unlatch the door, leading to a brief, resonant creak as the door is pushed open, confirming the successful mechanical engagement of the hinges and latch."
f70f224f5b86,audio,aligned_dataset/check_mailbox_split/Seg3/check_mailbox,qa_pairs/aligned/audio_qa_results_aligned.json,audio_qa_pair;audio_qa_pair_2;audio_qa_pair_3,3,"[00:25 - 00:27] The sound of a metallic latch clicking occurs as the user pushes open the glass door to enter the building, signaling transition from the outdoor hallway to the indoor vestibule. [00:30 - 00:32] A crisp metallic rattling and light clinking sound is heard as the user approaches the wall of mailboxes and manipulates the metal handle of mailbox labeled '1'234', indicating the physical interaction of checking or opening the compartment."
d61c96b56ec1,audio,aligned_dataset/check_mailbox_split/Seg4/check_mailbox,qa_pairs/aligned/audio_qa_results_aligned.json,audio_qa_pair;audio_qa_pair_2;audio_qa_pair_3,3,"[00:07 – 00:10] A crisp, metallic clink sound occurs as the user inserts a key into a mailbox lock, followed by the sound of a key turning in the lock. [00:10 – 00:13] A distinct clicking and creaking sound is heard as the mailbox door is pulled open, signifying the physical interaction with the metal fixture. [00:27 – 00:29] A short, metallic jingle and click sound occurs as the user inserts a key into a second, lower-positioned lock to open another door."
c31be2a146ae,audio,aligned_dataset/check_mailbox_split/Seg5/check_mailbox,qa_pairs/aligned/audio_qa_results_aligned.json,audio_qa_pair;audio_qa_pair_2;audio_qa_pair_3,3,"[00:00 - 00:04] A distinct metallic, clicking latch sound is heard as the person pushes open a glass door to exit the building, transitioning from an indoor acoustic environment to the outdoor space. [00:04 - 00:30] Rhythmic, resonant footsteps are heard as the person walks across the paved path, followed by a series of hollow, metallic clanging sounds created by each footfall as they ascend the metal staircase, indicating the weight of the person shifting onto the steel grating."
aac68e792707,audio,aligned_dataset/check_mailbox_split/Seg6/check_mailbox,qa_pairs/aligned/audio_qa_results_aligned.json,audio_qa_pair;audio_qa_pair_2;audio_qa_pair_3,3,"[00:00 - 00:06] The sound of rhythmic, hollow footsteps on a metal staircase echoes as the person descends, synchronized with the camera movement down the stairs. [00:06 - 00:19] A series of muffled, rapid footsteps continues on the metal grating of the walkway, creating a resonant, metallic tapping sound as the person moves along the corridor. [00:19 - 00:27] The footsteps become more distinct and sharp as the person slows down and stops, followed by a light rustling sound as they reach for their shoes. [00:27 - 00:40] Soft, repetitive scuffing and friction sounds are audible while the person adjusts and secures their white sneakers. [00:43 - 00:45] A clear, mechanical click and the screech of a metal latch occur as the person operates the door handle, followed by a hollow thud as the door swings open."
197db97e5fae,audio,aligned_dataset/check_mailbox_split/Seg7/check_mailbox,qa_pairs/aligned/audio_qa_results_aligned.json,audio_sound_source_identification_2,1,"[00:23] Scuffing and rustling sounds as the user slides their feet out of white sneakers, followed by a light thud."
4442176a8e4b,audio,aligned_dataset/check_mailbox_split/Seg7/check_mailbox,qa_pairs/aligned/audio_qa_results_aligned.json,audio_sound_source_identification,1,[00:13] A solid hollow thud and a latching click signify the user has pulled the door shut behind them.
488c7a4be9a5,audio,aligned_dataset/check_mailbox_split/Seg7/check_mailbox,qa_pairs/aligned/audio_qa_results_aligned.json,audio_sound_characteristics,1,"[00:00] Rhythmic, muffled footsteps on a hard hallway floor as the camera wearer approaches a door."
5385a549b24f,audio,aligned_dataset/check_mailbox_split/Seg7/check_mailbox,qa_pairs/aligned/audio_qa_results_aligned.json,audio_temporal_attribute,1,[00:09] The sound of footsteps continues but with a slightly different resonance as the person transitions from the hallway into the interior of a dark room.
9bc79332eef0,audio,aligned_dataset/check_mailbox_split/Seg7/check_mailbox,qa_pairs/aligned/audio_qa_results_aligned.json,audio_cross_modal_reasoning,1,"[00:18] Soft, thumping footsteps on a carpeted surface as the person walks toward a shoe rack area."
d5b63b1c56ff,audio,aligned_dataset/check_mailbox_split/Seg7/check_mailbox,qa_pairs/aligned/audio_qa_results_aligned.json,audio_counting,1,[00:03] Sharp metallic clinking and scratching sounds occur as the user's hand inserts a key into the lock of door number 1234 and turns it twice.
f50dc8c9fc49,audio,aligned_dataset/check_mailbox_split/Seg7/check_mailbox,qa_pairs/aligned/audio_qa_results_aligned.json,audio_inferential_causality,1,"[00:15] A distinct, plastic snap of a light switch being toggled is heard, which is visually confirmed as the room immediately illuminates."
754a9a3e8796,audio,aligned_dataset/cut_carrot_split/Seg1/cut_carrot,qa_pairs/aligned/audio_qa_results_aligned.json,audio_qa_pair;audio_qa_pair_2;audio_qa_pair_3,3,"[00:00 – 00:30] A rhythmic, crisp scraping sound occurs as the user repeatedly draws the metal blade of a vegetable peeler across the surface of a carrot. The audio exhibits a consistent, dry texture with each stroke, indicating the removal of thin, papery carrot skin. The sound originates from the center foreground, directly aligned with the visual action of the hands maneuvering the carrot over the bowl."
